,Comida,Comida Cap,Comida May,Calorias,Categoria,Hidratos de C,Grasas,Proteinas,Colesterol,Fibra,Catalán
62,espinacas,Espinacas,ESPINACAS,22,Vegetales,"1,94","0,49","2,39",0,"1,84",espinacs
63,pepperoni,Pepperoni,PEPPERONI,323,Carnes,"1,9","23,1",27,"72,6",0,pepperoni
64,mermelada,Mermelada,MERMELADA,260,Vegetales,"66,63","0,14","0,54",0,"0,7",melmelada
65,mozzarela,Mozzarela,MOZZARELA,223,Productos lacteos,0,"16,1","19,5",78,0,mozzarella
66,hamburguesa,Hamburguesa,HAMBURGUESA,510,Comida rapida,"47,5","25,2","22,76",59,"4,1",hamburguesa
67,ostras,Ostras,OSTRAS,64,"Pescado, moluscos y marisco","2,76","2,21","8,14","53,5",0,ostres
68,zumo de naranja,Zumo de naranja,ZUMO DE NARANJA,41,Bebidas,9,"0,2","0,7",0,"0,1",suc de taronja
69,tomates,Tomates,TOMATES,19,Vegetales,"3,5","0,1","0,9",0,"1,1",tomàquets
70,coco,Coco,COCO,373,Frutas,"15,2","33,5","3,3",0,9,coco
71,sandwich de helado,Sandwich de helado,SANDWICH DE HELADO,211,Productos lacteos,"24,4","10,8","3,9",30,0,sandvitx de gelat
72,zanahorias,Zanahorias,ZANAHORIAS,34,Vegetales,7,"0,3","0,8",0,"2,6",pastanagues
73,leche de almendras,Leche de almendras,LECHE DE ALMENDRAS,353,Bebidas,60,"5,5","14,5",0,6,llet d'ametlles
74,trigo,Trigo,TRIGO,314,Cereales y derivados,61,2,"11,7",0,"10,3",blat
75,cheddar,Cheddar,CHEDDAR,405,Productos lacteos,"0,1","33,59",26,110,0,cheddar
76,sandía,Sandía,SANDÍA,20,Frutas,"4,5",0,"0,4",0,"0,5",síndria
77,cono de helado,Cono de helado,CONO DE HELADO,211,Productos lacteos,"24,4","10,8","3,9",30,0,con de gelat
78,pimientos,Pimientos,PIMIENTOS,29,Vegetales,"4,5","0,6","1,3",0,"1,8",pebrots
79,vegetal,Vegetal,VEGETAL,135,Vegetales,"8,61","11,55","1,49",0,"3,1",vegetal
80,parmesano,Parmesano,PARMESANO,367,Productos lacteos,0,"26,5","32,3",80,0,parmesà
81,manzanas,Manzanas,MANZANAS,50,Frutas,12,0,"0,3",0,2,pomes
82,melocotones,Melocotones,MELOCOTONES,39,Frutas,9,0,"0,6",0,"1,4",préssecs
83,acelga,Acelga,ACELGA,29,Vegetales,"4,37","0,39","1,9",0,"0,8",bleda
84,lechuga,Lechuga,LECHUGA,16,Vegetales,"1,4","0,6","1,12",0,"1,5",enciam
85,menta,Menta,MENTA,44,Hierbas y especias,"5,3","0,73","3,8",0,"6,8",menta
86,sopa de tomate,Sopa de tomate,SOPA DE TOMATE,73,Sopas,"12,9","0,2","4,5",0,"2,8",sopa de tomàquet
87,col rizada,Col rizada,COL RIZADA,34,Vegetales,"1,4","1,6","3,4",0,"3,3",col arrissada
88,champiñones,Champiñones,CHAMPIÑONES,26,Vegetales,4,"0,3","1,8",0,"2,5",xampinyons
89,ensalada de patata,Ensalada de patata,ENSALADA DE PATATA,225,Vegetales,"49,05","0,9","5,4",0,"9,16",amanida de patata
90,pechuga de pollo,Pechuga de pollo,PECHUGA DE POLLO,146,Productos avicolas,0,"6,2","22,2",62,0,pit de pollastre
91,ginger ale,Ginger ale,GINGER ALE,38,Bebidas Alcoholicas,"9,2",0,0,0,0,ginger ale
92,judías verdes,Judías verdes,JUDÍAS VERDES,84,Vegetales,"3,94","6,79","1,78",0,"2,25",mongetes tendres
93,uvas,Uvas,UVAS,72,Frutas,"15,5","0,7","0,6",0,"0,4",raïm
94,ensalada de fruta,Ensalada de fruta,ENSALADA DE FRUTA,107,Frutas,25,"0,1","0,9",0,"1,1",amanida de fruita
95,teriyaki,Teriyaki,TERIYAKI,84,Salsas,"15,95",0,"5,93",0,"0,1",teriyaki
96,cebolla,Cebolla,CEBOLLA,26,Vegetales,"5,3",0,"1,125",0,"1,8",ceba
97,pepino,Pepino,PEPINO,12,Vegetales,2,"0,1","0,7",0,"0,8",cogombre
98,pretzels,Pretzels,PRETZELS,409,Dulces,"69,2",10,"9,4",0,"3,2",pretzels
99,calabacín,Calabacín,CALABACÍN,18,Vegetales,"1,76","0,39","1,76",0,"1,6",carbassó
100,fresa y plátano,Fresa y plátano,FRESA Y PLÁTANO,125,Frutas,27,"0,8","1,9",0,"5,6",maduixa i plàtan
101,ramen,Ramen,RAMEN,436,Cereales y derivados,63,16,10,0,"2,3",ramen
102,naranjas,Naranjas,NARANJAS,76,Frutas,"17,2",0,"1,6",0,4,taronges
103,ganso,Ganso,GANSO,133,Productos avicolas,"6,3","4,28","16,37",515,0,oca
104,brócoli,Brócoli,BRÓCOLI,26,Vegetales,"2,4","0,4",3,0,3,bròquil
105,bacon de pavo,Bacon de pavo,BACON DE PAVO,292,Carnes,0,"22,1","23,4",80,0,bacó de gall dindi
106,sopa de patata,Sopa de patata,SOPA DE PATATA,149,Sopas,23,"4,7","3,5","12,6",1,sopa de patata
107,berenjena,Berenjena,BERENJENA,299,Vegetales,"2,7","31,9","1,2",0,"2,9",albergínia
108,guisantes,Guisantes,GUISANTES,67,Vegetales,"9,7","0,5","5,6",0,"3,36",pèsols
109,granola,Granola,GRANOLA,372,Cereales y derivados,"65,8","6,9","10,3","0,3","6,1",granola
110,miel y mostaza,Miel y mostaza,MIEL Y MOSTAZA,133,Salsas,5,10,"5,9",0,"1,3",mel i mostassa
