Nombre,Estado,Provincia,"Población
Censo 1981-03-01","Población
Censo 1991-03-01","Población
Censo 2001-11-01","Población
Censo 2011-11-01",Poblacion2018
Casabermeja,Municipio,Málaga,2.809,3.098,2.935,3.608,3.507
Casarabonela,Municipio,Málaga,2.726,2.554,2.475,2.680,2.510
Casares,Municipio,Málaga,3.127,3.286,3.387,5.276,6.121
Casariche,Municipio,Sevilla,4.413,4.947,5.244,5.627,5.530
Castaño del Robledo,Municipio,Huelva,226,195,194,213,209
Cástaras,Municipio,Granada,455,340,277,277,244
Castellar,Municipio,Jaén,3.771,3.675,3.625,3.525,3.364
Castellar de la Frontera,Municipio,Cádiz,1.984,2.269,2.571,3.160,3.013
Castilblanco de los Arroyos,Municipio,Sevilla,3.502,4.045,4.547,5.080,4.810
Castilleja de Guzmán,Municipio,Sevilla,208,360,1.870,2.810,2.826
Castilleja de la Cuesta,Municipio,Sevilla,11.999,15.095,16.245,17.398,17.350
Castilleja del Campo,Municipio,Sevilla,619,636,606,642,625
