,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood,Foods,Calorias,Hidratos de Carbono,Grasas,Proteinas,Colesterol,Fibra,Categorías,Gender,sentiment
0,0,0,0,0,0,2019-04-21 00:00:21.000,1.1197526979624836e+18,1.1197526979624836e+18,es,"{'id': 'f0bc6569b8d489ec', 'url': 'https://api.twitter.com/1.1/geo/id/f0bc6569b8d489ec.json', 'place_type': 'city', 'name': 'Palencia', 'full_name': 'Palencia, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.654915, 41.919496], [-4.654915, 42.07149], [-4.481245, 42.07149], [-4.481245, 41.919496]]]}, 'attributes': {}}",@cid_lauri @SoniaMaica @sanchezcastejon @Pablo_Iglesias_ @CasoAislado_Es Salen locas como setas,Antonio,España,Palencia,"(-4.654915, 41.919496)",Castilla y León,yes,['setas'],26.0,8.0,0.3,1.8,0.0,0.0,['Vegetales'],male,Neutral
1,1,1,1,1,1,2019-04-21 00:01:03.000,1.1197528739387556e+18,1.1197528739387556e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}","En serio, que me comeria una pizza que flipais. Tengo muchisimo hambre y he cenado que flipas.",Ann,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['pizza'],477.0,22.2,9.8,8.2,16.0,1.7,['Comida rapida'],female,Neutral
2,2,2,2,2,2,2019-04-21 00:01:54.000,1.1197530859650172e+18,1.1197530859650172e+18,es,"{'id': '590e9f3315ea23a7', 'url': 'https://api.twitter.com/1.1/geo/id/590e9f3315ea23a7.json', 'place_type': 'city', 'name': 'Santander', 'full_name': 'Santander, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889051, 43.434462], [-3.889051, 43.494818], [-3.763247, 43.494818], [-3.763247, 43.434462]]]}, 'attributes': {}}",@starpudd es que me la como con patatas socorro,gema,España,Santander,"(-3.889051, 43.434462)",Cantabria,yes,['patatas'],538.0,49.5,34.9,6.5,0.0,4.0,['Vegetales'],female,Neutral
3,3,3,3,3,3,2019-04-21 00:02:38.000,1.1197532706485617e+18,1.1197532706485617e+18,es,"{'id': '89ee62e4c6700ce6', 'url': 'https://api.twitter.com/1.1/geo/id/89ee62e4c6700ce6.json', 'place_type': 'city', 'name': 'Espartinas', 'full_name': 'Espartinas, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.173902, 37.360802], [-6.173902, 37.414926], [-6.0828, 37.414926], [-6.0828, 37.360802]]]}, 'attributes': {}}",Pasta de dientes como remedio para los granos. https://t.co/U0RJ9UUwBf,Sr,España,Espartinas,"(-6.173902, 37.360802)",Andalucía,yes,['Pasta'],252.0,47.44,2.26,9.35,30.0,4.58,['Cereales y derivados'],,Neutral
4,4,4,4,4,4,2019-04-21 00:02:46.000,1.119753303162794e+18,1.119753303162794e+18,es,"{'id': '590e9f3315ea23a7', 'url': 'https://api.twitter.com/1.1/geo/id/590e9f3315ea23a7.json', 'place_type': 'city', 'name': 'Santander', 'full_name': 'Santander, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889051, 43.434462], [-3.889051, 43.494818], [-3.763247, 43.494818], [-3.763247, 43.434462]]]}, 'attributes': {}}",@manolobaenagarc Y tu un franquista de tomo y lomo.,Soledad,España,Santander,"(-3.889051, 43.434462)",Cantabria,yes,['lomo'],237.0,0.0,14.27,27.0,75.0,0.0,['Carnes'],female,Neutral
5,5,5,5,5,5,2019-04-21 00:06:04.000,1.1197541364787896e+18,1.1197541364787896e+18,es,"{'id': 'a4d75ab3c00c2563', 'url': 'https://api.twitter.com/1.1/geo/id/a4d75ab3c00c2563.json', 'place_type': 'city', 'name': 'Níjar', 'full_name': 'Níjar, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-2.300484, 36.719095], [-2.300484, 37.0197], [-1.925271, 37.0197], [-1.925271, 36.719095]]]}, 'attributes': {}}",recuerdo que era español porque en los bocadillos a veces hablaban andaluces y lo hacían poniendo una comilla en vez de la s (huevo’),,España,Níjar,"(-2.300484, 36.719095)",Andalucía,yes,['huevo'],150.0,0.3,11.1,12.5,385.0,0.0,['Productos lacteos'],female,Neutral
6,6,6,6,8,8,2019-04-21 00:08:40.000,1.1197547907272252e+18,1.1197547907272252e+18,es,"{'id': '89ee62e4c6700ce6', 'url': 'https://api.twitter.com/1.1/geo/id/89ee62e4c6700ce6.json', 'place_type': 'city', 'name': 'Espartinas', 'full_name': 'Espartinas, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.173902, 37.360802], [-6.173902, 37.414926], [-6.0828, 37.414926], [-6.0828, 37.360802]]]}, 'attributes': {}}",@elcowboysideral Pues entonces no uses pasta de dientes sabor menta... 🤣,Sr,España,Espartinas,"(-6.173902, 37.360802)",Andalucía,yes,"['pasta', 'menta']",296.0,52.74,2.99,13.15,30.0,11.38,"['Cereales y derivados', 'Hierbas y especias']",,Neutral
7,7,7,7,10,11,2019-04-21 00:16:07.000,1.1197566659250094e+18,1.1197566659250094e+18,es,"{'id': 'd860f3cf3473a352', 'url': 'https://api.twitter.com/1.1/geo/id/d860f3cf3473a352.json', 'place_type': 'city', 'name': 'Villa del Río', 'full_name': 'Villa del Río, España', 'country_code': 'ES', 'country': 'Spain', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.331412, 37.953103], [-4.331412, 38.01252], [-4.259517, 38.01252], [-4.259517, 37.953103]]]}, 'attributes': {}}",Gracias a lo mala que estoy desde hace 2 semanas he descubierto la leche con miel🥺,More,Spain,Villa del Río,"(-4.331412, 37.953103)",Andalucía,yes,"['leche', 'miel']",380.0,81.5,3.8,3.56,14.0,0.0,"['Productos lacteos', 'Dulces']",female,Neutral
8,8,8,8,11,12,2019-04-21 00:17:49.000,1.1197570929470996e+18,1.1197570929470996e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}","@Javiquezmar Lo sé, la preparty...

No decías que te ibas a ir a dormir prontito oara no quedarte sopa haciendo el tfg??? (modo madre ON)",Borja,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['sopa'],321.0,58.24,4.34,10.99,74.0,2.2,['Sopas'],male,Neutral
9,9,9,9,12,13,2019-04-21 00:18:44.000,1.1197573207272736e+18,1.1197573207272736e+18,es,"{'id': '387b00909c2e7031', 'url': 'https://api.twitter.com/1.1/geo/id/387b00909c2e7031.json', 'place_type': 'city', 'name': 'Granada', 'full_name': 'Granada, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.699796, 37.135903], [-3.699796, 37.224915], [-3.496139, 37.224915], [-3.496139, 37.135903]]]}, 'attributes': {}}",@intolaura @Devil_Masks Son tres veces más dulces que las torrijas xd a mí no me gustan aunque los amo porque soy g… https://t.co/oKM0HDE7sl,adek,España,Granada,"(-3.699796, 37.135903)",Andalucía,yes,"['torrija', 'torrijas']",472.0,36.62,32.0,10.12,176.0,2.0,"['Cereales y derivados', 'Cereales y derivados']",male,Positive
