,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood,Foods,Calorias,Hidratos de Carbono,Grasas,Proteinas,Colesterol,Fibra,Categorías,Gender,sentiment
0,0,0,0,0,0,2019-04-15 00:06:08.000,1.1175798227949322e+18,1.1175798227949322e+18,es,"{'id': '3a9c654a445000f6', 'url': 'https://api.twitter.com/1.1/geo/id/3a9c654a445000f6.json', 'place_type': 'city', 'name': 'Getafe', 'full_name': 'Getafe, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.761318, 40.266415], [-3.761318, 40.334686], [-3.570016, 40.334686], [-3.570016, 40.266415]]]}, 'attributes': {}}",@ArcoDelPostigo y el capirote más aplastao que una torrija del mercadona,Salva,España,Getafe,"(-3.761318, 40.266415)",Madrid,yes,['torrija'],236.0,18.31,16.0,5.06,88.0,1.0,['Cereales y derivados'],male,Neutral
1,1,1,1,1,1,2019-04-15 00:06:10.000,1.1175798342370428e+18,1.1175798342370428e+18,es,"{'id': 'c52827ebd9bfe563', 'url': 'https://api.twitter.com/1.1/geo/id/c52827ebd9bfe563.json', 'place_type': 'city', 'name': 'Jerez de la Frontera', 'full_name': 'Jerez de la Frontera, Spain', 'country_code': 'ES', 'country': 'Spain', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.306111, 36.516968], [-6.306111, 36.864413], [-5.455137, 36.864413], [-5.455137, 36.516968]]]}, 'attributes': {}}",“Me la pica el pollo “ 😂 @aitagarcia24 @Irianavega26,Nuria,Spain,Jerez de la Frontera,"(-6.306111, 36.516968)",Andalucía,yes,['pollo'],166.0,0.0,9.6,19.9,99.0,0.0,['Productos avicolas'],female,Neutral
2,2,2,2,3,4,2019-04-15 00:12:36.000,1.1175814530664776e+18,1.1175814530664776e+18,es,"{'id': 'ffb7261abbaa67ed', 'url': 'https://api.twitter.com/1.1/geo/id/ffb7261abbaa67ed.json', 'place_type': 'city', 'name': 'Dos Hermanas', 'full_name': 'Dos Hermanas, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.06368, 37.1481], [-6.06368, 37.361766], [-5.8836569999999995, 37.361766], [-5.8836569999999995, 37.1481]]]}, 'attributes': {}}",Cuando veo que han comprado champiñones en casa 🥰,Biolector,España,Dos Hermanas,"(-6.06368, 37.1481)",Andalucía,yes,"['champiñones', 'piñones']",709.0,16.0,62.91,15.8,0.0,4.4,"['Vegetales', 'Frutos secos']",,Neutral
3,3,3,3,4,5,2019-04-15 00:15:19.000,1.1175821351861412e+18,1.1175821351861412e+18,es,"{'id': 'bb40a18222d997ca', 'url': 'https://api.twitter.com/1.1/geo/id/bb40a18222d997ca.json', 'place_type': 'city', 'name': 'Cullera', 'full_name': 'Cullera, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.30894, 39.103298], [-0.30894, 39.225414], [-0.21625899999999998, 39.225414], [-0.21625899999999998, 39.103298]]]}, 'attributes': {}}","Qué coño paella ni paella, pa miii joee. Aunque si una escucha ""mamá la tajada y los marisquitos pa mi""... Se viene… https://t.co/DRw9pTafvl",Rocio,España,Cullera,"(-0.30894, 39.103298)",Comunidad Valenciana,yes,['paella'],173.0,17.44,5.74,12.37,44.81,0.5,['Cereales y derivados'],female,Neutral
4,4,4,4,5,6,2019-04-15 00:19:52.000,1.1175832809818522e+18,1.1175832809818522e+18,es,"{'id': '1a27537478dd8e38', 'url': 'https://api.twitter.com/1.1/geo/id/1a27537478dd8e38.json', 'place_type': 'city', 'name': 'Barcelona', 'full_name': 'Barcelona, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]}, 'attributes': {}}","@Juanmi_News No se puede pedir peras al olmo. No es que sea reaccionario, es que es t...",EmilyDick,España,Barcelona,"(2.052477, 41.317048)",Cataluña,yes,['peras'],90.0,21.2,0.0,0.8,0.0,4.6,['Frutas'],,Neutral
5,5,5,5,6,7,2019-04-15 00:20:56.000,1.1175835474208932e+18,1.1175835474208932e+18,es,"{'id': 'ea520f3528c9b3e4', 'url': 'https://api.twitter.com/1.1/geo/id/ea520f3528c9b3e4.json', 'place_type': 'admin', 'name': 'Madrid', 'full_name': 'Madrid, Comunidad de Madrid', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.579175, 39.884537], [-4.579175, 41.164911], [-3.053132, 41.164911], [-3.053132, 39.884537]]]}, 'attributes': {}}","Z-LIQUID 50+10ML
sabor a yogurt helado con arándanos!
https://t.co/bT77c0jX6o

#vapormadrid #VapeMoniadas #Zliquid… https://t.co/fduQQXrWL8",www,España,Madrid,"(-4.579175, 39.884537)",Madrid,yes,"['helado', 'yogur', 'arándanos']",334.0,39.65,15.5,8.719999999999999,34.0,6.1000000000000005,"['Productos lacteos', 'Productos lacteos', 'Frutas']",male,Neutral
6,6,6,6,7,8,2019-04-15 00:21:16.000,1.1175836339952722e+18,1.1175836339952722e+18,es,"{'id': 'cbdb0e7018443220', 'url': 'https://api.twitter.com/1.1/geo/id/cbdb0e7018443220.json', 'place_type': 'city', 'name': 'Murcia', 'full_name': 'Murcia, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-1.385233, 37.715968], [-1.385233, 38.117714], [-0.850358, 38.117714], [-0.850358, 37.715968]]]}, 'attributes': {}}","@MJRuizCatalonia dskasdkaskdlaksdaskllkdls esto envejece como el vino
mila cantando como un camionero
el arrrrrrrib… https://t.co/jqTONeO4g8",Elías,España,Murcia,"(-1.385233, 37.715968)",Murcia,yes,['vino'],71.0,0.3,0.0,0.23,0.0,0.0,['Bebidas Alcoholicas'],,Neutral
7,7,7,7,8,9,2019-04-15 00:21:34.000,1.1175837068337398e+18,1.1175837068337398e+18,es,"{'id': 'b3112c55f433b0e4', 'url': 'https://api.twitter.com/1.1/geo/id/b3112c55f433b0e4.json', 'place_type': 'city', 'name': 'Azuqueca de Henares', 'full_name': 'Azuqueca de Henares, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.297113, 40.530715], [-3.297113, 40.583364], [-3.229949, 40.583364], [-3.229949, 40.530715]]]}, 'attributes': {}}",@mer_pm mañana tocaria un cafe bien cargado en el Iris para comentar el episodio de hoy :) :) :),Sergio,España,Azuqueca de Henares,"(-3.297113, 40.530715)",Castilla la Mancha,yes,"['cafe', 'menta']",82.0,7.75,3.0954,5.5,8.0,6.8,"['Bebidas', 'Hierbas y especias']",male,Positive
8,8,8,8,9,10,2019-04-15 00:22:05.000,1.1175838370500812e+18,1.1175838370500812e+18,es,"{'id': '81b394f2fd369fbd', 'url': 'https://api.twitter.com/1.1/geo/id/81b394f2fd369fbd.json', 'place_type': 'city', 'name': 'Torrent', 'full_name': 'Torrent, España', 'country_code': 'ES', 'country': 'Spain', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.617084, 39.386959], [-0.617084, 39.449597], [-0.435364, 39.449597], [-0.435364, 39.386959]]]}, 'attributes': {}}",@LRojo__ @Naranj1t0 Si os vais a NY me tatúo un trozo de queso! Gracias por lo que estáis haciendo por la comunidad!💚💚💚,PiLladOxX,Spain,Torrent,"(-0.617084, 39.386959)",Cataluña,yes,['queso'],450.0,0.51,34.0,35.77,74.4,0.0,['Productos lacteos'],,Neutral
9,9,9,9,10,12,2019-04-15 00:27:09.000,1.1175851119255798e+18,1.1175851119255798e+18,es,"{'id': 'd87047cfb03df546', 'url': 'https://api.twitter.com/1.1/geo/id/d87047cfb03df546.json', 'place_type': 'city', 'name': 'Mollina', 'full_name': 'Mollina, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.694089, 37.07203], [-4.694089, 37.202093], [-4.594758, 37.202093], [-4.594758, 37.07203]]]}, 'attributes': {}}",Si preguntas eso tienes un problema en el coco grave,Sheeeeeeeeeeen,España,Mollina,"(-4.694089, 37.07203)",Andalucía,yes,['coco'],373.0,15.2,33.5,3.3,0.0,9.0,['Frutas'],,Neutral
