,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood,Foods,Calorias,Hidratos de Carbono,Grasas,Proteinas,Colesterol,Fibra,Categorías,Gender,sentiment
10,10,10,10,13,15,2019-04-19 19:34:33.000,1.1193234171304836e+18,1.1193234171304836e+18,es,"{'id': '8c86b8b4cb716103', 'url': 'https://api.twitter.com/1.1/geo/id/8c86b8b4cb716103.json', 'place_type': 'city', 'name': 'Sevilla', 'full_name': 'Sevilla, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.02843, 37.313613], [-6.02843, 37.452783], [-5.8186599999999995, 37.452783], [-5.8186599999999995, 37.313613]]]}, 'attributes': {}}",Mira que me gusta el queso... Pero hay límites...,QuoromTV,España,Sevilla,"(-6.02843, 37.313613)",Andalucía,yes,['queso'],450.0,0.51,34.0,35.77,74.4,0.0,['Productos lacteos'],,Neutral
11,11,11,11,15,17,2019-04-19 19:38:17.000,1.1193243568642826e+18,1.1193243568642826e+18,es,"{'id': '071a52d3a927a1b8', 'url': 'https://api.twitter.com/1.1/geo/id/071a52d3a927a1b8.json', 'place_type': 'city', 'name': 'Valencia', 'full_name': 'Valencia, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.43254499999999996, 39.278381], [-0.43254499999999996, 39.566588], [-0.272513, 39.566588], [-0.272513, 39.278381]]]}, 'attributes': {}}",Preparando lo siguiente #paella #valencia casacarmelavalencia @ Casa Carmela https://t.co/7b4ZKg72su,photholic,España,Valencia,"(-0.43254499999999996, 39.278381)",Comunidad Valenciana,yes,['paella'],173.0,17.44,5.74,12.37,44.81,0.5,['Cereales y derivados'],,Positive
12,12,12,12,16,18,2019-04-19 19:38:51.000,1.1193244981327217e+18,1.1193244981327217e+18,es,"{'id': '8c7e359a5777a6db', 'url': 'https://api.twitter.com/1.1/geo/id/8c7e359a5777a6db.json', 'place_type': 'city', 'name': 'Utrera', 'full_name': 'Utrera, España', 'country_code': 'ES', 'country': 'Spain', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.049769, 36.916092], [-6.049769, 37.25292], [-5.589326, 37.25292], [-5.589326, 36.916092]]]}, 'attributes': {}}",odio la regla por qué me tiene que entrar la necesidad de comer chocolate a las 9 y media de la noche,,Spain,Utrera,"(-6.049769, 36.916092)",Andalucía,yes,['chocolate'],271.33,59.23,30.53,7.29,20.0,0.53,['Dulces'],male,Negative
13,13,13,13,17,21,2019-04-19 19:41:54.000,1.1193252680097916e+18,1.1193252680097916e+18,es,"{'id': 'c52827ebd9bfe563', 'url': 'https://api.twitter.com/1.1/geo/id/c52827ebd9bfe563.json', 'place_type': 'city', 'name': 'Jerez de la Frontera', 'full_name': 'Jerez de la Frontera, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.306111, 36.516968], [-6.306111, 36.864413], [-5.455137, 36.864413], [-5.455137, 36.516968]]]}, 'attributes': {}}","@MohamedMonoli4 Eso te lo dije yo pixa, se lo digo a un huevo de peña
El dato: pesa más de 7 toneladas",Mr,España,Jerez de la Frontera,"(-6.306111, 36.516968)",Andalucía,yes,['huevo'],150.0,0.3,11.1,12.5,385.0,0.0,['Productos lacteos'],,Neutral
14,14,14,14,18,22,2019-04-19 19:42:29.000,1.1193254140764242e+18,1.1193254140764242e+18,es,"{'id': '0ab1cfe1d3945a22', 'url': 'https://api.twitter.com/1.1/geo/id/0ab1cfe1d3945a22.json', 'place_type': 'city', 'name': 'Las Rozas de Madrid', 'full_name': 'Las Rozas de Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.94958, 40.475009], [-3.94958, 40.574489], [-3.83319, 40.574489], [-3.83319, 40.475009]]]}, 'attributes': {}}",@Josanlorca A mi me valdría la sandía d cena 😄😂,Chema,España,Las Rozas de Madrid,"(-3.94958, 40.475009)",Madrid,yes,['sandía'],20.0,4.5,0.0,0.4,0.0,0.5,['Frutas'],male,Neutral
15,15,15,15,19,24,2019-04-19 19:44:40.000,1.1193259624606474e+18,1.1193259624606474e+18,es,"{'id': 'ea520f3528c9b3e4', 'url': 'https://api.twitter.com/1.1/geo/id/ea520f3528c9b3e4.json', 'place_type': 'admin', 'name': 'Madrid', 'full_name': 'Madrid, Comunidad de Madrid', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.579175, 39.884537], [-4.579175, 41.164911], [-3.053132, 41.164911], [-3.053132, 39.884537]]]}, 'attributes': {}}",Esto es lo que estoy haciendo para el canal de @TodoTec_Youtube mientras me como una torrija de postre https://t.co/H7diHk4gGH,Alejandro,España,Madrid,"(-4.579175, 39.884537)",Madrid,yes,['torrija'],236.0,18.31,16.0,5.06,88.0,1.0,['Cereales y derivados'],male,Positive
16,16,16,16,22,27,2019-04-19 19:45:28.000,1.1193261653433304e+18,1.1193261653433304e+18,es,"{'id': 'fbd9222706a6ca58', 'url': 'https://api.twitter.com/1.1/geo/id/fbd9222706a6ca58.json', 'place_type': 'city', 'name': 'Avilés', 'full_name': 'Avilés, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-5.954536, 43.53042], [-5.954536, 43.597096], [-5.875733, 43.597096], [-5.875733, 43.53042]]]}, 'attributes': {}}",Viernes de pizza y peli🤔,Nerea,España,Avilés,"(-5.954536, 43.53042)",Asturias,yes,['pizza'],477.0,22.2,9.8,8.2,16.0,1.7,['Comida rapida'],female,Neutral
17,17,17,17,23,28,2019-04-19 19:46:04.000,1.1193263152896984e+18,1.1193263152896984e+18,es,"{'id': '3afc29d1fe76301f', 'url': 'https://api.twitter.com/1.1/geo/id/3afc29d1fe76301f.json', 'place_type': 'city', 'name': 'Zaragoza', 'full_name': 'Zaragoza, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-1.174093, 41.451835], [-1.174093, 41.931438], [-0.680572, 41.931438], [-0.680572, 41.451835]]]}, 'attributes': {}}",@vikyro18 Si te bañabas eras pescado 😂😂😂,Daniel,España,Zaragoza,"(-1.174093, 41.451835)",Aragón,yes,['pescado'],96.0,0.0,1.6,20.1,53.6,0.0,"['Pescado, moluscos y marisco']",male,Neutral
18,18,18,18,27,33,2019-04-19 19:55:01.000,1.1193285690989444e+18,1.1193285690989444e+18,es,"{'id': '0a228ec2c44f00e3', 'url': 'https://api.twitter.com/1.1/geo/id/0a228ec2c44f00e3.json', 'place_type': 'city', 'name': 'Camargo', 'full_name': 'Camargo, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.924195, 43.375167], [-3.924195, 43.444342], [-3.803984, 43.444342], [-3.803984, 43.375167]]]}, 'attributes': {}}","@Laro1913 Que estamos en Semana Santa...!!!
Que no se puede comer carne....!!!!
So ateooooo...!!!! 😂😂😂😂😂😜😜",Chuchi,España,Camargo,"(-3.924195, 43.375167)",Cantabria,yes,['carne'],80.75,0.0,8.0,22.1,66.7,0.0,['Carnes'],female,Neutral
19,19,19,19,28,34,2019-04-19 19:56:18.000,1.1193288932472914e+18,1.1193288932472914e+18,es,"{'id': 'e88681ebd19bf4f7', 'url': 'https://api.twitter.com/1.1/geo/id/e88681ebd19bf4f7.json', 'place_type': 'city', 'name': 'Tomares', 'full_name': 'Tomares, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.063505, 37.358041], [-6.063505, 37.381903], [-6.02251, 37.381903], [-6.02251, 37.358041]]]}, 'attributes': {}}",Palomo spain tomandose una cerveza detras de mi casa,vasilanduki,España,Tomares,"(-6.063505, 37.358041)",Andalucía,yes,"['cerveza', 'lomo']",279.0,3.12,14.27,27.5,75.0,0.0,"['Bebidas Alcoholicas', 'Carnes']",,Neutral
