,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood,Foods,Calorias,Hidratos de Carbono,Grasas,Proteinas,Colesterol,Fibra,Categorías,Gender,sentiment
0,0,0,0,1,1,2019-04-22 00:11:34.000,1.1201179087373312e+18,1.1201179087373312e+18,es,"{'id': '1a27537478dd8e38', 'url': 'https://api.twitter.com/1.1/geo/id/1a27537478dd8e38.json', 'place_type': 'city', 'name': 'Barcelona', 'full_name': 'Barcelona, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]}, 'attributes': {}}",@jesuscasasola @LauraBorras se comió con patatas a todos! impresionante @LauraBorras,pablo,España,Barcelona,"(2.052477, 41.317048)",Cataluña,yes,['patatas'],538.0,49.5,34.9,6.5,0.0,4.0,['Vegetales'],male,Neutral
1,1,1,1,2,2,2019-04-22 00:14:09.000,1.1201185555870392e+18,1.1201185555870392e+18,es,"{'id': '3afc29d1fe76301f', 'url': 'https://api.twitter.com/1.1/geo/id/3afc29d1fe76301f.json', 'place_type': 'city', 'name': 'Zaragoza', 'full_name': 'Zaragoza, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-1.174093, 41.451835], [-1.174093, 41.931438], [-0.680572, 41.931438], [-0.680572, 41.451835]]]}, 'attributes': {}}",@aveasvargas Zanahoria de trigo? Eso como se come jajajaja. Ese traductor traduce peor que el google jajaja.,Carmen,España,Zaragoza,"(-1.174093, 41.451835)",Aragón,yes,['trigo'],314.0,122.0,4.0,11.7,0.0,10.3,['Cereales y derivados'],female,Neutral
2,2,2,2,3,3,2019-04-22 00:15:47.000,1.120118967262163e+18,1.120118967262163e+18,es,"{'id': '507a015cba6ef518', 'url': 'https://api.twitter.com/1.1/geo/id/507a015cba6ef518.json', 'place_type': 'city', 'name': 'Málaga', 'full_name': 'Málaga, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.587928, 36.635585], [-4.587928, 36.894171], [-4.260134, 36.894171], [-4.260134, 36.635585]]]}, 'attributes': {}}","Acabó convenciéndolo cuando le dio un poco de su helado de zalamería escarchada.

#microcuentos #microcuento #FelizLunes #poémame",Román,España,Málaga,"(-4.587928, 36.635585)",Andalucía,yes,['helado'],228.0,28.2,11.0,3.8,34.0,1.2,['Productos lacteos'],,Neutral
3,3,3,3,4,4,2019-04-22 00:16:20.000,1.1201191068025242e+18,1.1201191068025242e+18,es,"{'id': '07f70a23853105b1', 'url': 'https://api.twitter.com/1.1/geo/id/07f70a23853105b1.json', 'place_type': 'city', 'name': 'Lugo', 'full_name': 'Lugo, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-7.735264, 42.882574], [-7.735264, 43.098682], [-7.405997, 43.098682], [-7.405997, 42.882574]]]}, 'attributes': {}}",@CapitnRex13 @lorocha888 @mary_pg Yo no como ese helado directamente... No me gusta 😎,sheila,España,Lugo,"(-7.735264, 42.882574)",Galicia,yes,['helado'],228.0,28.2,11.0,3.8,34.0,1.2,['Productos lacteos'],female,Neutral
4,4,4,4,5,5,2019-04-22 00:20:21.000,1.1201201155954976e+18,1.1201201155954976e+18,es,"{'id': '2e858e47881ddc48', 'url': 'https://api.twitter.com/1.1/geo/id/2e858e47881ddc48.json', 'place_type': 'city', 'name': 'Alicante', 'full_name': 'Alicante, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.6564329999999999, 38.160348], [-0.6564329999999999, 38.537463], [-0.37460899999999997, 38.537463], [-0.37460899999999997, 38.160348]]]}, 'attributes': {}}",@XxRukenshinxX Si me pongo los arnés de SNK parezco un trozo de carne de esos atados con cuerdas xDDD,Ikana,España,Alicante,"(-0.6564329999999999, 38.160348)",Comunidad Valenciana,yes,['carne'],80.75,0.0,8.0,22.1,66.7,0.0,['Carnes'],,Neutral
5,5,5,5,9,9,2019-04-22 00:33:00.000,1.1201232999362068e+18,1.1201232999362068e+18,es,"{'id': '071a52d3a927a1b8', 'url': 'https://api.twitter.com/1.1/geo/id/071a52d3a927a1b8.json', 'place_type': 'city', 'name': 'Valencia', 'full_name': 'Valencia, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.43254499999999996, 39.278381], [-0.43254499999999996, 39.566588], [-0.272513, 39.566588], [-0.272513, 39.278381]]]}, 'attributes': {}}",@asopo1 @xgisselaceli @vox_es @PartidoPACMA @PSOE @ahorapodemos Ser ecologista y comer carne no tiene mucha lógica.,Azul,España,Valencia,"(-0.43254499999999996, 39.278381)",Comunidad Valenciana,yes,['carne'],80.75,0.0,8.0,22.1,66.7,0.0,['Carnes'],female,Neutral
6,6,6,6,12,12,2019-04-22 00:39:40.000,1.1201249776243588e+18,1.1201249776243588e+18,es,"{'id': '071a52d3a927a1b8', 'url': 'https://api.twitter.com/1.1/geo/id/071a52d3a927a1b8.json', 'place_type': 'city', 'name': 'Valencia', 'full_name': 'Valencia, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.43254499999999996, 39.278381], [-0.43254499999999996, 39.566588], [-0.272513, 39.566588], [-0.272513, 39.278381]]]}, 'attributes': {}}","@Korind ¿Sigues en Berlín? No verdad? Va, marchando un plato con hielo para un té hirviendo! 🖤",Ar,España,Valencia,"(-0.43254499999999996, 39.278381)",Comunidad Valenciana,yes,['té'],36.0,2.45,2.3654,1.7,7.0,0.0,['Bebidas'],male,Neutral
7,7,7,7,17,19,2019-04-22 01:08:05.000,1.1201321304016732e+18,1.1201321304016732e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",@dirtyIiar literalmente yo comiendo queso,helena,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['queso'],450.0,0.51,34.0,35.77,74.4,0.0,['Productos lacteos'],female,Neutral
8,8,8,8,19,21,2019-04-22 01:09:05.000,1.1201323797991136e+18,1.1201323797991136e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}","absolutamente nadie: h
yo: sí bueno es que el queso es un super alimento",helena,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['queso'],450.0,0.51,34.0,35.77,74.4,0.0,['Productos lacteos'],female,Neutral
9,9,9,9,23,25,2019-04-22 01:19:54.000,1.1201351058240308e+18,1.1201351058240308e+18,es,"{'id': '1a27537478dd8e38', 'url': 'https://api.twitter.com/1.1/geo/id/1a27537478dd8e38.json', 'place_type': 'city', 'name': 'Barcelona', 'full_name': 'Barcelona, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]}, 'attributes': {}}",Lastina que no se me da bien el naranja... #powerdressing,Mafe,España,Barcelona,"(2.052477, 41.317048)",Cataluña,yes,['naranja'],76.0,17.2,0.0,1.6,0.0,4.0,['Frutas'],female,Neutral
10,10,10,10,24,27,2019-04-22 01:32:19.000,1.1201382291209952e+18,1.1201382291209952e+18,es,"{'id': 'c25cb047b2e809ba', 'url': 'https://api.twitter.com/1.1/geo/id/c25cb047b2e809ba.json', 'place_type': 'city', 'name': 'Torrejón de Ardoz', 'full_name': 'Torrejón de Ardoz, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.497719, 40.430699], [-3.497719, 40.510678], [-3.425865, 40.510678], [-3.425865, 40.430699]]]}, 'attributes': {}}",@CrissMlsb Vente a mi casa que tengo queso curao queso de bola y quesitos,Virginia,España,Torrejón de Ardoz,"(-3.497719, 40.430699)",Madrid,yes,['queso'],450.0,0.51,34.0,35.77,74.4,0.0,['Productos lacteos'],female,Positive
11,11,11,11,25,28,2019-04-22 01:36:56.000,1.120139389823275e+18,1.120139389823275e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",Pues na a beber leche de giganta JAJAJAJA,QuiiQuee,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['leche'],65.0,4.7,3.8,3.06,14.0,0.0,['Productos lacteos'],,Neutral
12,12,12,12,28,34,2019-04-22 02:04:27.000,1.120146315793584e+18,1.120146315793584e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, Spain', 'country_code': 'ES', 'country': 'Spain', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",@Barkach Yo te doy la leche (para el cuerno),N,Spain,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['leche'],65.0,4.7,3.8,3.06,14.0,0.0,['Productos lacteos'],male,Neutral
13,13,13,13,29,35,2019-04-22 02:06:41.000,1.1201468777128264e+18,1.1201468777128264e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",Ahora leche de giganta y a dormir #VivePoniente #GameOfThrones #JuegoDeTronos,Jonathan,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['leche'],65.0,4.7,3.8,3.06,14.0,0.0,['Productos lacteos'],male,Neutral
14,14,14,14,31,38,2019-04-22 02:20:38.000,1.120150385837183e+18,1.120150385837183e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, Spain', 'country_code': 'ES', 'country': 'Spain', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",@Barkach @AliArmas Jajajjajajjaja yo quedé traumado con la leche de giganta. Sorry!,N,Spain,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['leche'],65.0,4.7,3.8,3.06,14.0,0.0,['Productos lacteos'],male,Neutral
15,15,15,15,32,39,2019-04-22 02:23:44.000,1.120151167840002e+18,1.120151167840002e+18,es,"{'id': '16d7e4bdce732b26', 'url': 'https://api.twitter.com/1.1/geo/id/16d7e4bdce732b26.json', 'place_type': 'city', 'name': 'Lloret de Mar', 'full_name': 'Lloret de Mar, Spain', 'country_code': 'ES', 'country': 'Spain', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.775933, 41.686311], [2.775933, 41.762839], [2.897042, 41.762839], [2.897042, 41.686311]]]}, 'attributes': {}}","Le he pedido a mi madre que pare el coche pa hacer la sopa
F en el chat por mi",DrakeMeMiró,Spain,Lloret de Mar,"(2.775933, 41.686311)",Cataluña,yes,['sopa'],321.0,58.24,4.34,10.99,74.0,2.2,['Sopas'],,Neutral
16,16,16,16,36,43,2019-04-22 03:07:40.000,1.1201622228718552e+18,1.1201622228718552e+18,es,"{'id': 'b4087ef4302eed52', 'url': 'https://api.twitter.com/1.1/geo/id/b4087ef4302eed52.json', 'place_type': 'city', 'name': 'Mojados', 'full_name': 'Mojados, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.745913, 41.398066], [-4.745913, 41.463144], [-4.607324, 41.463144], [-4.607324, 41.398066]]]}, 'attributes': {}}",Nota mental: Beber un vaso de leche de gigante a diario.,Dani,España,Mojados,"(-4.745913, 41.398066)",Castilla y León,yes,"['leche', 'menta']",109.0,10.0,4.5299999999999985,6.8599999999999985,14.0,6.8,"['Productos lacteos', 'Hierbas y especias']",female,Neutral
17,17,17,17,37,44,2019-04-22 03:46:45.000,1.1201720604692684e+18,1.1201720604692684e+18,es,"{'id': '1a27537478dd8e38', 'url': 'https://api.twitter.com/1.1/geo/id/1a27537478dd8e38.json', 'place_type': 'city', 'name': 'Barcelona', 'full_name': 'Barcelona, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]}, 'attributes': {}}","Buenos días ☀️☀️☀️
.
Canutillos de crema 😊
.
#crema #cream #creamy #homemade #desayuno #desayunosaludable… https://t.co/wqufbiqgqH",Rafa,España,Barcelona,"(2.052477, 41.317048)",Cataluña,yes,['crema'],159.0,22.3,5.36,4.9,120.0,0.3,['Productos lacteos'],male,Neutral
