,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood,Foods,Calorias,Hidratos de Carbono,Grasas,Proteinas,Colesterol,Fibra,Categorías,Gender,sentiment
0,0,0,0,4,6,2019-04-20 00:10:03.000,1.119392749416063e+18,1.119392749416063e+18,es,"{'id': 'f68227769e30abbc', 'url': 'https://api.twitter.com/1.1/geo/id/f68227769e30abbc.json', 'place_type': 'city', 'name': 'San Fernando', 'full_name': 'San Fernando, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.242412, 36.387184], [-6.242412, 36.510518], [-6.168347, 36.510518], [-6.168347, 36.387184]]]}, 'attributes': {}}",Helado de chocolate 🤤,nuria,España,San Fernando,"(-6.242412, 36.387184)",Andalucía,yes,"['Helado', 'chocolate']",499.33,87.42999999999998,41.53,11.09,54.0,1.73,"['Productos lacteos', 'Dulces']",female,Neutral
1,1,1,1,5,7,2019-04-20 00:10:52.000,1.1193929553438024e+18,1.1193929553438024e+18,es,"{'id': 'cbdb0e7018443220', 'url': 'https://api.twitter.com/1.1/geo/id/cbdb0e7018443220.json', 'place_type': 'city', 'name': 'Murcia', 'full_name': 'Murcia, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-1.385233, 37.715968], [-1.385233, 38.117714], [-0.850358, 38.117714], [-0.850358, 37.715968]]]}, 'attributes': {}}",@NetflixES El único objetivo es trincar pasta...,Ramón,España,Murcia,"(-1.385233, 37.715968)",Murcia,yes,['pasta'],252.0,47.44,2.26,9.35,30.0,4.58,['Cereales y derivados'],male,Neutral
2,2,2,2,7,9,2019-04-20 00:13:23.000,1.1193935880755324e+18,1.1193935880755324e+18,es,"{'id': '219b1d1f289e5fe7', 'url': 'https://api.twitter.com/1.1/geo/id/219b1d1f289e5fe7.json', 'place_type': 'city', 'name': 'Santanyí', 'full_name': 'Santanyí, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.027687, 39.264474], [3.027687, 39.411513], [3.240555, 39.411513], [3.240555, 39.264474]]]}, 'attributes': {}}",Voy a dormir pq quiero sea mañana ya para desayunar chipa con leche,Anthony,España,Santanyí,"(3.027687, 39.264474)",Islas Baleares,yes,['leche'],65.0,4.7,3.8,3.06,14.0,0.0,['Productos lacteos'],male,Neutral
3,3,3,3,8,10,2019-04-20 00:15:15.000,1.1193940568770396e+18,1.1193940568770396e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",La campaña de Sánchez va a terminar como una de esas siestas con gazpacho en las que al final se cuela la mosca de… https://t.co/Mw1vV37oOL,Luis,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['gazpacho'],34.0,1.6,2.8,0.6,0.0,0.2,['Sopas'],male,Neutral
4,4,4,4,12,14,2019-04-20 00:19:34.000,1.1193951457602436e+18,1.1193951457602436e+18,es,"{'id': '590e9f3315ea23a7', 'url': 'https://api.twitter.com/1.1/geo/id/590e9f3315ea23a7.json', 'place_type': 'city', 'name': 'Santander', 'full_name': 'Santander, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889051, 43.434462], [-3.889051, 43.494818], [-3.763247, 43.494818], [-3.763247, 43.434462]]]}, 'attributes': {}}",Andaría necesitando de una cerveza,kun,España,Santander,"(-3.889051, 43.434462)",Cantabria,yes,['cerveza'],42.0,3.12,0.0,0.5,0.0,0.0,['Bebidas Alcoholicas'],male,Neutral
5,5,5,5,15,17,2019-04-20 00:23:01.000,1.1193960108060836e+18,1.1193960108060836e+18,es,"{'id': '1a27537478dd8e38', 'url': 'https://api.twitter.com/1.1/geo/id/1a27537478dd8e38.json', 'place_type': 'city', 'name': 'Barcelona', 'full_name': 'Barcelona, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]}, 'attributes': {}}",#BoxeoEnGol hoy paté de hígado para todos!!!!😉,Albert,España,Barcelona,"(2.052477, 41.317048)",Cataluña,yes,"['té', 'paté', 'hígado']",463.0,14.95,35.065400000000004,35.72,595.0,0.0,"['Bebidas', 'Productos avicolas', 'Carnes']",male,Neutral
6,6,6,6,18,20,2019-04-20 00:32:33.000,1.1193984132237804e+18,1.1193984132237804e+18,es,"{'id': '071a52d3a927a1b8', 'url': 'https://api.twitter.com/1.1/geo/id/071a52d3a927a1b8.json', 'place_type': 'city', 'name': 'Valencia', 'full_name': 'Valencia, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.43254499999999996, 39.278381], [-0.43254499999999996, 39.566588], [-0.272513, 39.566588], [-0.272513, 39.278381]]]}, 'attributes': {}}",El pavo de la 100 en pueblo está en la 92 Nuketown https://t.co/uL7tBiDOW5,iGenTrickz,España,Valencia,"(-0.43254499999999996, 39.278381)",Comunidad Valenciana,yes,['pavo'],119.0,0.0,2.86,21.77,65.0,0.0,['Productos avicolas'],,Neutral
7,7,7,7,19,21,2019-04-20 00:36:05.000,1.1193993029152932e+18,1.1193993029152932e+18,es,"{'id': '74726fb3c92d7037', 'url': 'https://api.twitter.com/1.1/geo/id/74726fb3c92d7037.json', 'place_type': 'city', 'name': 'Badajoz', 'full_name': 'Badajoz, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-7.1602879999999995, 38.554325], [-7.1602879999999995, 39.194551], [-6.552066, 39.194551], [-6.552066, 38.554325]]]}, 'attributes': {}}","@Diego_FDM @navedelmisterio @carmenporter_ la galleta frita son dos galletas bañadas en leche rellenas de crema, fr… https://t.co/Ut0v9emc1M",Raquel,España,Badajoz,"(-7.1602879999999995, 38.554325)",Extremadura,yes,"['leche', 'galletas', 'crema']",707.0,91.31,30.93,14.72,184.17,3.51,"['Productos lacteos', 'Dulces', 'Productos lacteos']",female,Positive
8,8,8,8,20,22,2019-04-20 00:36:20.000,1.1193993635776143e+18,1.1193993635776143e+18,es,"{'id': '1a27537478dd8e38', 'url': 'https://api.twitter.com/1.1/geo/id/1a27537478dd8e38.json', 'place_type': 'city', 'name': 'Barcelona', 'full_name': 'Barcelona, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]}, 'attributes': {}}",Me gusta la música que dice algo. Soy fanático del queso. Hablo con el mar siempre que puedo. Disfruto del arte y d… https://t.co/Gzw6mebGrQ,Juan,España,Barcelona,"(2.052477, 41.317048)",Cataluña,yes,['queso'],450.0,0.51,34.0,35.77,74.4,0.0,['Productos lacteos'],male,Positive
9,9,9,9,22,25,2019-04-20 00:39:30.000,1.1194001608518944e+18,1.1194001608518944e+18,es,"{'id': '8dedc021ccbff4ea', 'url': 'https://api.twitter.com/1.1/geo/id/8dedc021ccbff4ea.json', 'place_type': 'city', 'name': 'Mazarrón', 'full_name': 'Mazarrón, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-1.475708, 37.517376], [-1.475708, 37.723892], [-1.208218, 37.723892], [-1.208218, 37.517376]]]}, 'attributes': {}}",Quiero ramen,,España,Mazarrón,"(-1.475708, 37.517376)",Murcia,yes,['ramen'],436.0,126.0,32.0,20.0,0.0,2.3,['Cereales y derivados'],male,Neutral
