,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood,Foods,Calorias,Hidratos de Carbono,Grasas,Proteinas,Colesterol,Fibra,Gender
0,0,0,0,0,2019-04-06 00:00:07.000,1.1143168214846668e+18,1.1143168214846668e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",Bastantes vainas tengo encima como para estar calándome mariqueras de la gente si respondí o no un maldito mensaje por Dios,Babi,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['vainas'],43.0,7.55,0.2,2.8,0.0,2.6,female
1,1,1,1,2,2019-04-06 00:01:01.000,1.1143170442610524e+18,1.1143170442610524e+18,es,"{'id': '97569bae537efdb3', 'url': 'https://api.twitter.com/1.1/geo/id/97569bae537efdb3.json', 'place_type': 'city', 'name': 'Ponferrada', 'full_name': 'Ponferrada, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.7129639999999995, 42.385192], [-6.7129639999999995, 42.613003], [-6.407664, 42.613003], [-6.407664, 42.385192]]]}, 'attributes': {}}","@peluquera44 @isacalzadag @PSOE @sanchezcastejon @psoetoledo Como es eso, tenías un buen salario y vino Rajoy y te… https://t.co/S79jClf9dS",Jose,España,Ponferrada,"(-6.7129639999999995, 42.385192)",Castilla y León,yes,"['vino', 'ajo']",169.32999999999996,37.96,0.51,9.62,0.0,3.91,male
2,2,2,3,4,2019-04-06 00:08:07.000,1.1143188333832438e+18,1.1143188333832438e+18,es,"{'id': '358220cb0584bbe3', 'url': 'https://api.twitter.com/1.1/geo/id/358220cb0584bbe3.json', 'place_type': 'city', 'name': 'Cádiz', 'full_name': 'Cádiz, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.317663, 36.441775], [-6.317663, 36.543179], [-6.225463, 36.543179], [-6.225463, 36.441775]]]}, 'attributes': {}}","El pastel tiene leche, la leche viene de la vaca, la cual come pasto, por lo tanto el pastel cuenta como ensalada. Fin.",a,España,Cádiz,"(-6.317663, 36.441775)",Andalucía,yes,['leche'],65.0,4.7,3.8,3.06,14.0,0.0,male
3,3,3,4,6,2019-04-06 00:13:12.000,1.11432011395464e+18,1.11432011395464e+18,es,"{'id': '1e766d311eb323fb', 'url': 'https://api.twitter.com/1.1/geo/id/1e766d311eb323fb.json', 'place_type': 'city', 'name': 'La Rinconada', 'full_name': 'La Rinconada, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.011086, 37.395755], [-6.011086, 37.542006], [-5.817568, 37.542006], [-5.817568, 37.395755]]]}, 'attributes': {}}",Depende de qué tipo de queso.,M,España,La Rinconada,"(-6.011086, 37.395755)",Andalucía,yes,['queso'],450.0,0.51,34.0,35.77,74.4,0.0,male
4,4,4,5,7,2019-04-06 00:18:43.000,1.114321500075692e+18,1.114321500075692e+18,es,"{'id': '507a015cba6ef518', 'url': 'https://api.twitter.com/1.1/geo/id/507a015cba6ef518.json', 'place_type': 'city', 'name': 'Málaga', 'full_name': 'Málaga, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.587928, 36.635585], [-4.587928, 36.894171], [-4.260134, 36.894171], [-4.260134, 36.635585]]]}, 'attributes': {}}",Ahora lo único que me apetece es una cerveza y que me hagan despejarme.,Xenxes,España,Málaga,"(-4.587928, 36.635585)",Andalucía,yes,['cerveza'],42.0,3.12,0.0,0.5,0.0,0.0,
5,5,5,6,9,2019-04-06 00:24:13.000,1.1143228867251772e+18,1.1143228867251772e+18,es,"{'id': 'd84973286cfd241b', 'url': 'https://api.twitter.com/1.1/geo/id/d84973286cfd241b.json', 'place_type': 'city', 'name': 'Móstoles', 'full_name': 'Móstoles, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.945389, 40.285747], [-3.945389, 40.35406], [-3.841063, 40.35406], [-3.841063, 40.285747]]]}, 'attributes': {}}",Imagínense una ley que les prohíbe amar a sus novias o esposas. O desear una fruta. O sentir asco a la peste de la… https://t.co/FvTbXPoRmC,Clandestino,España,Móstoles,"(-3.945389, 40.285747)",Madrid,yes,['fruta'],107.0,50.0,0.1,0.9,0.0,1.1,
6,6,6,7,10,2019-04-06 00:24:55.000,1.1143230617744015e+18,1.1143230617744015e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}","Me dan unos pinchazos de la leche y cuando me giro, me levanto, o cualquier movimiento brusco cago en la leche Merc… https://t.co/HSICSbAKJ6",Anabel,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['leche'],65.0,4.7,3.8,3.06,14.0,0.0,female
7,7,7,8,11,2019-04-06 00:24:56.000,1.1143230634017874e+18,1.1143230634017874e+18,es,"{'id': 'ea520f3528c9b3e4', 'url': 'https://api.twitter.com/1.1/geo/id/ea520f3528c9b3e4.json', 'place_type': 'admin', 'name': 'Madrid', 'full_name': 'Madrid, Comunidad de Madrid', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.579175, 39.884537], [-4.579175, 41.164911], [-3.053132, 41.164911], [-3.053132, 39.884537]]]}, 'attributes': {}}",@LadyRi_ grandes momentos to pedo comiendo colacao XD,J,España,Madrid,"(-4.579175, 39.884537)",Madrid,yes,['colacao'],376.0,156.0,2.4,6.8,0.0,7.8,male
8,8,8,13,17,2019-04-06 00:40:12.000,1.114326906806186e+18,1.114326906806186e+18,es,"{'id': '0b9876f86cd1a381', 'url': 'https://api.twitter.com/1.1/geo/id/0b9876f86cd1a381.json', 'place_type': 'city', 'name': 'Parla', 'full_name': 'Parla, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.8075200000000002, 40.202103], [-3.8075200000000002, 40.255894], [-3.733381, 40.255894], [-3.733381, 40.202103]]]}, 'attributes': {}}",@notengomegas Ta raro ese pollo,Zapa,España,Parla,"(-3.8075200000000002, 40.202103)",Madrid,yes,['pollo'],166.0,0.0,9.6,19.9,99.0,0.0,
9,9,9,14,18,2019-04-06 00:43:11.000,1.1143276563114598e+18,1.1143276563114598e+18,es,"{'id': '80e7db36670c9975', 'url': 'https://api.twitter.com/1.1/geo/id/80e7db36670c9975.json', 'place_type': 'city', 'name': 'Ávila', 'full_name': 'Ávila, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.816598, 40.560569], [-4.816598, 40.752618], [-4.453278, 40.752618], [-4.453278, 40.560569]]]}, 'attributes': {}}","@324cat Los OBISPOS  que dejen en
Paz al Pueblo. 
Que ya nos Joden bastante
Con lo pasta que les regala
El ESTADO… https://t.co/3fWt2opnqO",María,España,Ávila,"(-4.816598, 40.560569)",Castilla y León,yes,['pasta'],252.0,47.44,2.26,9.35,30.0,4.58,female
