,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood,Foods,Calorias,Hidratos de Carbono,Grasas,Proteinas,Colesterol,Fibra,Gender
10,10,10,16,20,2019-04-06 00:44:31.000,1.1143279929505056e+18,1.1143279929505056e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",@Manuelarturo_94 Coño bb espero que te ganes la tarta y te endulces esos huecos,Laura,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['tarta'],401.0,49.2,20.2,5.2,101.3,1.2,female
11,11,11,17,22,2019-04-06 00:52:05.000,1.1143298958055628e+18,1.1143298958055628e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}","Este pavo es dios, os lo juro https://t.co/RVFJnv21sC",Piña,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['pavo'],119.0,0.0,2.86,21.77,65.0,0.0,
12,12,12,20,25,2019-04-06 00:56:25.000,1.1143309897178072e+18,1.1143309897178072e+18,es,"{'id': 'c9b2357da86314d2', 'url': 'https://api.twitter.com/1.1/geo/id/c9b2357da86314d2.json', 'place_type': 'city', 'name': 'Telde', 'full_name': 'Telde, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-15.529121, 27.928529], [-15.529121, 28.038601], [-15.358460000000001, 28.038601], [-15.358460000000001, 27.928529]]]}, 'attributes': {}}","Compra una cami de la dora loco
Hay de 3 sabores, fresa menta y choco",Karonte,España,Telde,"(-15.529121, 27.928529)",Islas Canarias,yes,"['fresa', 'menta']",80.0,19.3,1.23,4.5,0.0,9.0,
13,13,13,23,29,2019-04-06 01:05:48.000,1.1143333501630382e+18,1.1143333501630382e+18,es,"{'id': '45740a97231f1404', 'url': 'https://api.twitter.com/1.1/geo/id/45740a97231f1404.json', 'place_type': 'city', 'name': 'Coomonte', 'full_name': 'Coomonte, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-5.846694, 42.094048], [-5.846694, 42.129864], [-5.792809, 42.129864], [-5.792809, 42.094048]]]}, 'attributes': {}}",Tiemblan con Vox porque a muchos se les acaba el chollo. Porque el liberticidio va de la pasta. Y la libertad de lo… https://t.co/JM2WtL3A3I,Ortiz,España,Coomonte,"(-5.846694, 42.094048)",Castilla y León,yes,['pasta'],252.0,47.44,2.26,9.35,30.0,4.58,female
14,14,14,24,31,2019-04-06 01:11:06.000,1.1143346826514268e+18,1.1143346826514268e+18,es,"{'id': '590e9f3315ea23a7', 'url': 'https://api.twitter.com/1.1/geo/id/590e9f3315ea23a7.json', 'place_type': 'city', 'name': 'Santander', 'full_name': 'Santander, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889051, 43.434462], [-3.889051, 43.494818], [-3.763247, 43.494818], [-3.763247, 43.434462]]]}, 'attributes': {}}",@Jorsev_wild La mole vomita ciruelas 😂😂😂,TiagoFdez,España,Santander,"(-3.889051, 43.434462)",Cantabria,yes,"['ciruela', 'ciruelas']",108.0,48.0,0.4,1.5,0.0,4.6,
15,15,15,25,32,2019-04-06 01:18:18.000,1.114336496696402e+18,1.114336496696402e+18,es,"{'id': '342f9faf7392d4ce', 'url': 'https://api.twitter.com/1.1/geo/id/342f9faf7392d4ce.json', 'place_type': 'city', 'name': 'Logroño', 'full_name': 'Logroño, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-2.542232, 42.429049], [-2.542232, 42.519984], [-2.341476, 42.519984], [-2.341476, 42.429049]]]}, 'attributes': {}}",@tyyjan Acabo de llegar a casa. De saberlo le podías haber invitado a una cerveza a tu viejo y anciano padre. 😜,Logroñícola,España,Logroño,"(-2.542232, 42.429049)",La Rioja,yes,['cerveza'],42.0,3.12,0.0,0.5,0.0,0.0,
16,16,16,27,34,2019-04-06 01:28:44.000,1.1143391227164754e+18,1.1143391227164754e+18,es,"{'id': 'afb40d275f160fe8', 'url': 'https://api.twitter.com/1.1/geo/id/afb40d275f160fe8.json', 'place_type': 'city', 'name': 'Mairena del Alcor', 'full_name': 'Mairena del Alcor, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-5.810238, 37.295862], [-5.810238, 37.396011], [-5.673671, 37.396011], [-5.673671, 37.295862]]]}, 'attributes': {}}",Nos hemos marcado un cumpleaños épico. Ocho niños. Mucha pizza. Yatekomo. Dulces y tarta. Le han traído un montón d… https://t.co/nXgNQuyL5D,Mamá,España,Mairena del Alcor,"(-5.810238, 37.295862)",Andalucía,yes,"['pizza', 'tarta']",878.0,71.4,30.0,13.4,117.3,2.9,
17,17,17,29,36,2019-04-06 02:14:35.000,1.1143506593300276e+18,1.1143506593300276e+18,es,"{'id': 'a000a2e54f358c9e', 'url': 'https://api.twitter.com/1.1/geo/id/a000a2e54f358c9e.json', 'place_type': 'city', 'name': 'Arrecife', 'full_name': 'Arrecife, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-13.588182, 28.952313], [-13.588182, 29.005349], [-13.530917, 29.005349], [-13.530917, 28.952313]]]}, 'attributes': {}}","Vale pues.. 
O ya el vino me hizo efecto.. O @vantexstigma me siguió??!!! 
 Im kkskskskssk😍😍😍😍
ERES LA PUTA AMA BB!!!",one,España,Arrecife,"(-13.588182, 28.952313)",Islas Canarias,yes,['vino'],71.0,0.3,0.0,0.23,0.0,0.0,
18,18,18,35,42,2019-04-06 03:00:09.000,1.1143621271612212e+18,1.1143621271612212e+18,es,"{'id': 'c9f6408fbe911554', 'url': 'https://api.twitter.com/1.1/geo/id/c9f6408fbe911554.json', 'place_type': 'city', 'name': 'Portugalete', 'full_name': 'Portugalete, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.038428, 43.305045], [-3.038428, 43.332271], [-3.007113, 43.332271], [-3.007113, 43.305045]]]}, 'attributes': {}}","19 #Vegetales con #Proteína | ¡¡Me Siento Fenomenal!! https://t.co/IALeNgDVF2 
#Vegan #Veganismo #Veganos",Josu,España,Portugalete,"(-3.038428, 43.305045)",Pais Vasco,yes,"['Vegetales', 'Vegetal']",270.0,17.22,23.1,2.98,0.0,6.2,male
19,19,19,36,44,2019-04-06 03:29:43.000,1.1143695689972818e+18,1.1143695689972818e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",El pecado hecho carne,ADICTIVO,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['carne'],80.75,0.0,8.0,22.1,66.7,0.0,
20,20,20,39,47,2019-04-06 03:49:37.000,1.1143745753604874e+18,1.1143745753604874e+18,es,"{'id': 'cbdb0e7018443220', 'url': 'https://api.twitter.com/1.1/geo/id/cbdb0e7018443220.json', 'place_type': 'city', 'name': 'Murcia', 'full_name': 'Murcia, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-1.385233, 37.715968], [-1.385233, 38.117714], [-0.850358, 38.117714], [-0.850358, 37.715968]]]}, 'attributes': {}}","galletas xon leche
galletas con leche",eloy,España,Murcia,"(-1.385233, 37.715968)",Murcia,yes,"['leche', 'galletas']",548.0,69.01,25.57,9.82,64.17,3.21,male
21,21,21,44,55,2019-04-06 04:48:54.000,1.1143894958462484e+18,1.1143894958462484e+18,es,"{'id': '1a27537478dd8e38', 'url': 'https://api.twitter.com/1.1/geo/id/1a27537478dd8e38.json', 'place_type': 'city', 'name': 'Barcelona', 'full_name': 'Barcelona, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]}, 'attributes': {}}",@gariseltin Debería .. me tomaré un vaso de leche antes y tú?,name,España,Barcelona,"(2.052477, 41.317048)",Cataluña,yes,['leche'],65.0,4.7,3.8,3.06,14.0,0.0,
22,22,22,48,59,2019-04-06 05:57:41.000,1.114406804539179e+18,1.114406804539179e+18,es,"{'id': 'adb12aff6d7e1cca', 'url': 'https://api.twitter.com/1.1/geo/id/adb12aff6d7e1cca.json', 'place_type': 'city', 'name': 'Torremolinos', 'full_name': 'Torremolinos, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.561139, 36.599508], [-4.561139, 36.652355], [-4.475057, 36.652355], [-4.475057, 36.599508]]]}, 'attributes': {}}",Pivotando la manzana @Apple https://t.co/Bmp3zFjg47,Juan,España,Torremolinos,"(-4.561139, 36.599508)",Andalucía,yes,['manzana'],50.0,24.0,0.0,0.3,0.0,2.0,male
23,23,23,49,60,2019-04-06 06:00:02.000,1.1144073942038528e+18,1.1144073942038528e+18,es,"{'id': 'ea520f3528c9b3e4', 'url': 'https://api.twitter.com/1.1/geo/id/ea520f3528c9b3e4.json', 'place_type': 'admin', 'name': 'Madrid', 'full_name': 'Madrid, Comunidad de Madrid', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.579175, 39.884537], [-4.579175, 41.164911], [-3.053132, 41.164911], [-3.053132, 39.884537]]]}, 'attributes': {}}",Hoy cocido. El día acompaña #FelizSábado,Luis,España,Madrid,"(-4.579175, 39.884537)",Madrid,yes,['cocido'],202.0,7.69,12.07,15.16,47.0,1.6,male
24,24,24,50,61,2019-04-06 06:02:19.000,1.1144079720196056e+18,1.1144079720196056e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}","Sin olvidar el vinagre, uno de los mejores del mundo,",Tomas,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['vinagre'],4.0,0.6,0.0,0.4,0.0,0.0,male
25,25,25,51,62,2019-04-06 06:09:21.000,1.1144097396712284e+18,1.1144097396712284e+18,es,"{'id': '027deea22d729b4c', 'url': 'https://api.twitter.com/1.1/geo/id/027deea22d729b4c.json', 'place_type': 'city', 'name': 'Quintana Redonda', 'full_name': 'Quintana Redonda, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-2.812432, 41.550086], [-2.812432, 41.696453], [-2.541527, 41.696453], [-2.541527, 41.550086]]]}, 'attributes': {}}","@nachonavarrogil Por cierto, hoy arroz negro para comer, si te apetece, invitado estás",Carlos,España,Quintana Redonda,"(-2.812432, 41.550086)",Castilla y León,yes,['arroz'],387.0,172.0,0.9,7.0,0.0,0.2,male
26,26,26,52,63,2019-04-06 06:09:24.000,1.1144097514068868e+18,1.1144097514068868e+18,es,"{'id': '5ba0a56bae142676', 'url': 'https://api.twitter.com/1.1/geo/id/5ba0a56bae142676.json', 'place_type': 'city', 'name': 'Castropodame', 'full_name': 'Castropodame, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.528406, 42.512252], [-6.528406, 42.621768], [-6.36883, 42.621768], [-6.36883, 42.512252]]]}, 'attributes': {}}","@beautyblog_es Grande con leche 🥛 y miel 🍯 
#FelizSabado https://t.co/ZJrhTHutWR",Jorge,España,Castropodame,"(-6.528406, 42.512252)",Castilla y León,yes,"['leche', 'miel']",380.0,81.5,3.8,3.56,14.0,0.0,male
27,27,27,53,64,2019-04-06 06:10:17.000,1.1144099753114748e+18,1.1144099753114748e+18,es,"{'id': '1a27537478dd8e38', 'url': 'https://api.twitter.com/1.1/geo/id/1a27537478dd8e38.json', 'place_type': 'city', 'name': 'Barcelona', 'full_name': 'Barcelona, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]}, 'attributes': {}}","@ArthurConan33 @kiki93398820 @charimorales68 @GonzalParres @peixoto_cecilia @encarny_2016 Falta el cafe,🏃‍♀️🏃‍♀️ https://t.co/fO34FMj9Fj",antonia,España,Barcelona,"(2.052477, 41.317048)",Cataluña,yes,['cafe'],38.0,2.45,2.3654,1.7,8.0,0.0,female
28,28,28,54,66,2019-04-06 06:18:33.000,1.1144120562188288e+18,1.1144120562188288e+18,es,"{'id': '1a27537478dd8e38', 'url': 'https://api.twitter.com/1.1/geo/id/1a27537478dd8e38.json', 'place_type': 'city', 'name': 'Barcelona', 'full_name': 'Barcelona, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]}, 'attributes': {}}",Pornerle lechuga al pozole cuenta como ensalada no?,RicardoBS,España,Barcelona,"(2.052477, 41.317048)",Cataluña,yes,['lechuga'],16.0,1.4,0.6,1.12,0.0,1.5,
29,29,29,59,72,2019-04-06 06:36:06.000,1.1144164718688338e+18,1.1144164718688338e+18,es,"{'id': '7974acce42d034d5', 'url': 'https://api.twitter.com/1.1/geo/id/7974acce42d034d5.json', 'place_type': 'city', 'name': 'Santa Cruz de Tenerife', 'full_name': 'Santa Cruz de Tenerife, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-16.343595, 28.409769], [-16.343595, 28.589393], [-16.119363, 28.589393], [-16.119363, 28.409769]]]}, 'attributes': {}}","@CarlesMundo @ForcadellCarme Debes ser ""un fantasma"" porque ni siquiera te conozco..¿También a por la pasta ganza c… https://t.co/F4GWawafcz",José,España,Santa Cruz de Tenerife,"(-16.343595, 28.409769)",Islas Canarias,yes,['pasta'],252.0,47.44,2.26,9.35,30.0,4.58,male
30,30,30,60,73,2019-04-06 06:40:47.000,1.1144176516889108e+18,1.1144176516889108e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}","@irenerova24 la pasta es lo más importante, por eso estás con Kiko. https://t.co/63aMEb6yIz",María,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['pasta'],252.0,47.44,2.26,9.35,30.0,4.58,female
31,31,31,61,74,2019-04-06 06:41:10.000,1.1144177491896402e+18,1.1144177491896402e+18,es,"{'id': '232c065e26c1807c', 'url': 'https://api.twitter.com/1.1/geo/id/232c065e26c1807c.json', 'place_type': 'city', 'name': 'Solsona', 'full_name': 'Solsona, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[1.484881, 41.96765], [1.484881, 42.021445], [1.551316, 42.021445], [1.551316, 41.96765]]]}, 'attributes': {}}","Mala PERSONA .
Podrida por dentro
Mala tv
Mala leche",M,España,Solsona,"(1.484881, 41.96765)",Cataluña,yes,['leche'],65.0,4.7,3.8,3.06,14.0,0.0,male
32,32,32,64,78,2019-04-06 06:43:57.000,1.1144184460942296e+18,1.1144184460942296e+18,es,"{'id': '511e174a7fe802b4', 'url': 'https://api.twitter.com/1.1/geo/id/511e174a7fe802b4.json', 'place_type': 'city', 'name': 'Los Corrales de Buelna', 'full_name': 'Los Corrales de Buelna, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.146899, 43.220004], [-4.146899, 43.300262], [-4.017428, 43.300262], [-4.017428, 43.220004]]]}, 'attributes': {}}",@agropopular #AgropopularLaSolana La Rosa de Azafrán. Saludos desde Coó de las Castañas,Alfonso,España,Los Corrales de Buelna,"(-4.146899, 43.220004)",Cantabria,yes,"['Azafrán', 'Castañas']",595.0,114.46,8.100000000000001,14.57,0.0,9.0,male
33,33,33,65,79,2019-04-06 06:44:16.000,1.1144185294309088e+18,1.1144185294309088e+18,es,"{'id': 'c25cb047b2e809ba', 'url': 'https://api.twitter.com/1.1/geo/id/c25cb047b2e809ba.json', 'place_type': 'city', 'name': 'Torrejón de Ardoz', 'full_name': 'Torrejón de Ardoz, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.497719, 40.430699], [-3.497719, 40.510678], [-3.425865, 40.510678], [-3.425865, 40.430699]]]}, 'attributes': {}}",@agropopular LA ROSA DEL AZAFRÁN,Carmela,España,Torrejón de Ardoz,"(-3.497719, 40.430699)",Madrid,yes,['AZAFRÁN'],350.0,61.5,5.9,11.4,0.0,3.9,female
34,34,34,66,80,2019-04-06 06:44:47.000,1.1144186568161076e+18,1.1144186568161076e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",@merupuig @sanchezcastejon @informativost5 @EU_Commission Pues yo te lo digo: a lo mejor están metidos en el ajo?,Menchu,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['ajo'],98.33,37.66,0.51,9.39,0.0,3.91,female
35,35,35,70,88,2019-04-06 06:56:54.000,1.1144217069055428e+18,1.1144217069055428e+18,es,"{'id': '55066be1721898d3', 'url': 'https://api.twitter.com/1.1/geo/id/55066be1721898d3.json', 'place_type': 'city', 'name': 'Aranjuez', 'full_name': 'Aranjuez, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.881487, 39.884537], [-3.881487, 40.130601], [-3.51354, 40.130601], [-3.51354, 39.884537]]]}, 'attributes': {}}","#Actividadesextraescolares esta semana los #Cocinillas nos han deleitado con Quesadillas de queso, Jamón York y sal… https://t.co/Pas1rMru6L",Carlos,España,Aranjuez,"(-3.881487, 39.884537)",Madrid,yes,"['queso', 'Jamón']",769.0,0.71,56.6,64.57000000000001,158.4,0.0,male
