,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood,Foods,Calorias,Hidratos de Carbono,Grasas,Proteinas,Colesterol,Fibra,Categorías,Gender
0,0,0,0,1,2019-04-17 00:08:28.000,1.1183051884760678e+18,1.1183051884760678e+18,es,"{'id': 'ec2ead284df00347', 'url': 'https://api.twitter.com/1.1/geo/id/ec2ead284df00347.json', 'place_type': 'city', 'name': 'Alcalá de Henares', 'full_name': 'Alcalá de Henares, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.44735, 40.446007], [-3.44735, 40.546039], [-3.283896, 40.546039], [-3.283896, 40.446007]]]}, 'attributes': {}}","@douglascosta Ahora no te ríes, ni tampoco haces gestos eh a tomar por culo, a la aldea a comer sopa do macaco",Gimenezista,España,Alcalá de Henares,"(-3.44735, 40.446007)",Madrid,yes,['sopa'],321.0,58.24,4.34,10.99,74.0,2.2,['Sopas'],
1,1,1,1,2,2019-04-17 00:16:51.000,1.1183072976405052e+18,1.1183072976405052e+18,es,"{'id': '9551d04348b421db', 'url': 'https://api.twitter.com/1.1/geo/id/9551d04348b421db.json', 'place_type': 'city', 'name': 'Villarrasa', 'full_name': 'Villarrasa, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.679162, 37.33549], [-6.679162, 37.458555], [-6.577549, 37.458555], [-6.577549, 37.33549]]]}, 'attributes': {}}","Me encuentro en ese momento de ni se si me hace falta mi media naranja o ser yo la naranja entera.
#Filosofia #Nocturna",Guillermo,España,Villarrasa,"(-6.679162, 37.33549)",Andalucía,yes,['naranja'],76.0,17.2,0.0,1.6,0.0,4.0,['Frutas'],male
2,2,2,2,3,2019-04-17 00:17:51.000,1.1183075503808676e+18,1.1183075503808676e+18,es,"{'id': 'bc662bf69fcfd406', 'url': 'https://api.twitter.com/1.1/geo/id/bc662bf69fcfd406.json', 'place_type': 'city', 'name': 'Benavente', 'full_name': 'Benavente, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-5.735705, 41.961917], [-5.735705, 42.048422], [-5.612655, 42.048422], [-5.612655, 41.961917]]]}, 'attributes': {}}","Decir que si, y la leche también prohibirla que los hombres blancos y heteros tocan las ubres de las vacas.… https://t.co/Dh1JVJDwnT",Aarón,España,Benavente,"(-5.735705, 41.961917)",Castilla y León,yes,['leche'],65.0,4.7,3.8,3.06,14.0,0.0,['Productos lacteos'],male
3,3,3,3,4,2019-04-17 00:20:03.000,1.1183081006525809e+18,1.1183081006525809e+18,es,"{'id': '31d6ba09e3108530', 'url': 'https://api.twitter.com/1.1/geo/id/31d6ba09e3108530.json', 'place_type': 'city', 'name': 'Reus', 'full_name': 'Reus, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[1.057584, 41.102209], [1.057584, 41.189829], [1.191154, 41.189829], [1.191154, 41.102209]]]}, 'attributes': {}}",@f4ku97 @Vargath @gofio97 @world_of_damia @SFDK92743235 Si no ha ido un pavo de 2m con porra a arrestarla es pq prohibido no está,OneWingedAngel,España,Reus,"(1.057584, 41.102209)",Cataluña,yes,['pavo'],119.0,0.0,2.86,21.77,65.0,0.0,['Productos avicolas'],
4,4,4,6,8,2019-04-17 01:32:14.000,1.1183262669633332e+18,1.1183262669633332e+18,es,"{'id': '983a7dea07a7bcd4', 'url': 'https://api.twitter.com/1.1/geo/id/983a7dea07a7bcd4.json', 'place_type': 'city', 'name': 'Estepona', 'full_name': 'Estepona, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-5.219826, 36.386766], [-5.219826, 36.535606], [-5.005087, 36.535606], [-5.005087, 36.386766]]]}, 'attributes': {}}",@TheCabrerich Por cierto a ver si te pasas que me han traído productos típicos de Asturias y pruebas,Sergio,España,Estepona,"(-5.219826, 36.386766)",Andalucía,yes,['pasas'],297.0,69.3,0.5,2.46,0.0,6.5,['Frutas'],male
5,5,5,9,14,2019-04-17 01:45:08.000,1.1183295159341425e+18,1.1183295159341425e+18,es,"{'id': '7269b823b8e80067', 'url': 'https://api.twitter.com/1.1/geo/id/7269b823b8e80067.json', 'place_type': 'city', 'name': 'Elciego', 'full_name': 'Elciego, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-2.654249, 42.483085], [-2.654249, 42.531043], [-2.589811, 42.531043], [-2.589811, 42.483085]]]}, 'attributes': {}}",@Razorkaen Bueno pero parece que se le acaba la pasta puesto que va salir en la Nueva Ángeles de Charlie.,Jesus,España,Elciego,"(-2.654249, 42.483085)",Pais Vasco,yes,['pasta'],252.0,47.44,2.26,9.35,30.0,4.58,['Cereales y derivados'],male
6,6,6,12,17,2019-04-17 02:31:09.000,1.1183410958454988e+18,1.1183410958454988e+18,es,"{'id': 'd151b58850d4cd1e', 'url': 'https://api.twitter.com/1.1/geo/id/d151b58850d4cd1e.json', 'place_type': 'city', 'name': 'Cartagena', 'full_name': 'Cartagena, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-1.225551, 37.533889], [-1.225551, 37.731143], [-0.688067, 37.731143], [-0.688067, 37.533889]]]}, 'attributes': {}}",@AntonioEM96 Que me traigas una pizza hostia puta yaaaaaaaaa🙄,Leviathan,España,Cartagena,"(-1.225551, 37.533889)",Murcia,yes,['pizza'],477.0,22.2,9.8,8.2,16.0,1.7,['Comida rapida'],
7,7,7,15,21,2019-04-17 02:44:23.000,1.1183444254476124e+18,1.1183444254476124e+18,es,"{'id': '00ab08eef1b62e92', 'url': 'https://api.twitter.com/1.1/geo/id/00ab08eef1b62e92.json', 'place_type': 'city', 'name': 'Las Palmas de Gran Canaria', 'full_name': 'Las Palmas de Gran Canaria, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-15.525504, 28.024813], [-15.525504, 28.181213], [-15.394194, 28.181213], [-15.394194, 28.024813]]]}, 'attributes': {}}",Llevo toda mi vida enamorado de la mantequilla,David,España,Las Palmas de Gran Canaria,"(-15.525504, 28.024813)",Islas Canarias,yes,['mantequilla'],503.0,0.0,55.1,3.3,106.0,0.0,['Productos lacteos'],male
8,8,8,16,22,2019-04-17 02:45:10.000,1.1183446243162644e+18,1.1183446243162644e+18,es,"{'id': '00ab08eef1b62e92', 'url': 'https://api.twitter.com/1.1/geo/id/00ab08eef1b62e92.json', 'place_type': 'city', 'name': 'Las Palmas de Gran Canaria', 'full_name': 'Las Palmas de Gran Canaria, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-15.525504, 28.024813], [-15.525504, 28.181213], [-15.394194, 28.181213], [-15.394194, 28.024813]]]}, 'attributes': {}}","Probad a untar mantequilla en las galletas si no lo habéis hecho nunca, es placer de dioses",David,España,Las Palmas de Gran Canaria,"(-15.525504, 28.024813)",Islas Canarias,yes,"['galletas', 'mantequilla']",986.0,64.31,76.87,10.06,156.17000000000004,3.21,"['Dulces', 'Productos lacteos']",male
9,9,9,18,26,2019-04-17 03:06:57.000,1.1183501040108544e+18,1.1183501040108544e+18,es,"{'id': 'ea520f3528c9b3e4', 'url': 'https://api.twitter.com/1.1/geo/id/ea520f3528c9b3e4.json', 'place_type': 'admin', 'name': 'Madrid', 'full_name': 'Madrid, Comunidad de Madrid', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.579175, 39.884537], [-4.579175, 41.164911], [-3.053132, 41.164911], [-3.053132, 39.884537]]]}, 'attributes': {}}",Vine por las torrijas y me quedé currando hasta las 5 de la mañana.,Bruno,España,Madrid,"(-4.579175, 39.884537)",Madrid,yes,"['torrija', 'torrijas']",472.0,36.62,32.0,10.12,176.0,2.0,"['Cereales y derivados', 'Cereales y derivados']",male
