,Unnamed: 0,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood
0,0,2019-04-11 08:24:29.000,1.1162556857198632e+18,1.1162556857198632e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",¿Aún no sabes dónde comer las mejores torrijas de Madrid? En @Grupo_JoseLuis_ #PaseodelaHabana tienes una buena mue… https://t.co/LyoxIkj1B8,"{'id': 394274591, 'id_str': '394274591', 'name': 'Lola Tercero', 'screen_name': 'LolaTercero3', 'location': 'Madrid', 'url': None, 'description': 'Si no puedes correr, camina, si no puedes caminar, anda, pero no te pares nunca.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 566, 'friends_count': 584, 'listed_count': 35, 'favourites_count': 13981, 'statuses_count': 24579, 'created_at': 'Wed Oct 19 20:46:22 +0000 2011', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'FFF04D', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_link_color': '0099CC', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1043598956834512896/fWgfWQJh_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1043598956834512896/fWgfWQJh_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/394274591/1550583557', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Madrid,"(-3.889005, 40.312071)",Madrid,yes
1,1,2019-04-11 08:25:09.000,1.1162558538946888e+18,1.1162558538946888e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",@ElenaSweety2 Pues trae Donuts de esos fondant que los muerdes y chorrea el chocolate,"{'id': 1096736360910807042, 'id_str': '1096736360910807042', 'name': 'Albóndiga Peleona🇪🇸', 'screen_name': 'DerekkHard', 'location': 'Madrid, Comunidad de Madrid', 'url': None, 'description': 'T.E.S 🚑 Experto en Salvamento y Rescate.⛰️  Ama la vida que vives y vive la vida que amas.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 254, 'friends_count': 233, 'listed_count': 1, 'favourites_count': 1241, 'statuses_count': 2187, 'created_at': 'Sat Feb 16 11:41:39 +0000 2019', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1113163349984980992/IW4sx7ll_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1113163349984980992/IW4sx7ll_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1096736360910807042/1550320284', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Madrid,"(-3.889005, 40.312071)",Madrid,yes
3,3,2019-04-11 08:25:24.000,1.1162559186126766e+18,1.1162559186126766e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",@OkAndroid Amos a ver si leemos... que las frambuesas son sólo decorativas!!! Los arándanos están dentro del llamad… https://t.co/FKI6tZOys8,"{'id': 219098570, 'id_str': '219098570', 'name': 'polvora🏳️\u200d🌈', 'screen_name': 'polvora83', 'location': 'Entre Andalucía y la Gran Vía', 'url': 'http://es.favstar.fm/users/polvora83', 'description': 'Rara y normal a partes iguales. Me crecieron las tetas con 20 años por el agua de Barcelona. Si no saltas, yo te empujo.\n\nMassiel era laísta.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 1357, 'friends_count': 336, 'listed_count': 43, 'favourites_count': 15860, 'statuses_count': 39322, 'created_at': 'Tue Nov 23 22:45:35 +0000 2010', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme10/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme10/bg.gif', 'profile_background_tile': True, 'profile_link_color': '009999', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1031445637819232261/zooZn-1L_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1031445637819232261/zooZn-1L_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/219098570/1548690862', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Madrid,"(-3.889005, 40.312071)",Madrid,yes
5,5,2019-04-11 08:25:44.000,1.1162560003052584e+18,1.1162560003052584e+18,es,"{'id': '232c065e26c1807c', 'url': 'https://api.twitter.com/1.1/geo/id/232c065e26c1807c.json', 'place_type': 'city', 'name': 'Solsona', 'full_name': 'Solsona, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[1.484881, 41.96765], [1.484881, 42.021445], [1.551316, 42.021445], [1.551316, 41.96765]]]}, 'attributes': {}}","No haberlo votado
O...haber votado 
Ahora.....ajo y agua","{'id': 1065505242366836737, 'id_str': '1065505242366836737', 'name': 'M. Àngels II*II 🎗🎗 #CONSELL PER LA REPÚBLICA', 'screen_name': 'MAngels57008389', 'location': 'SOLSONA', 'url': None, 'description': ""Els tenim a REVENTAR!\nARA ES L'HORA,SEGADORS.\nDESPERTA FERRO,!!"", 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 1255, 'friends_count': 2254, 'listed_count': 1, 'favourites_count': 14798, 'statuses_count': 16130, 'created_at': 'Thu Nov 22 07:20:20 +0000 2018', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1077974462765641730/pwx9T7hO_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1077974462765641730/pwx9T7hO_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1065505242366836737/1542871962', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Solsona,"(1.484881, 41.96765)",Cataluña,yes
6,6,2019-04-11 08:26:07.000,1.116256099970224e+18,1.116256099970224e+18,es,"{'id': 'dd5ca53bdb47a1cb', 'url': 'https://api.twitter.com/1.1/geo/id/dd5ca53bdb47a1cb.json', 'place_type': 'city', 'name': 'Toledo', 'full_name': 'Toledo, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.179635, 39.810555], [-4.179635, 39.925092], [-3.8147919999999997, 39.925092], [-3.8147919999999997, 39.810555]]]}, 'attributes': {}}",La población española come 8 veces  más #carne procesada de la máxima recomendada  y los niños 4 veces más según un… https://t.co/7DbIGJ5UcT,"{'id': 3027942849, 'id_str': '3027942849', 'name': 'Noticias CMM', 'screen_name': 'CMM_noticias', 'location': 'Castilla-La Mancha, España', 'url': 'http://www.NoticiasCMM.es', 'description': 'La última hora en Castilla-La Mancha y las noticias del equipo de profesionales de @CMM_es. Síguenos también en Instagram, Youtube, Facebook y LinkedIn.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 9496, 'friends_count': 655, 'listed_count': 127, 'favourites_count': 694, 'statuses_count': 32699, 'created_at': 'Tue Feb 10 11:06:50 +0000 2015', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'FFFFFF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '77058E', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1105034609547464704/AP0UnmKF_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1105034609547464704/AP0UnmKF_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/3027942849/1550748149', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Toledo,"(-4.179635, 39.810555)",Castilla la Mancha,yes
10,11,2019-04-11 08:30:14.000,1.116257132415017e+18,1.116257132415017e+18,es,"{'id': '3a9c654a445000f6', 'url': 'https://api.twitter.com/1.1/geo/id/3a9c654a445000f6.json', 'place_type': 'city', 'name': 'Getafe', 'full_name': 'Getafe, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.761318, 40.266415], [-3.761318, 40.334686], [-3.570016, 40.334686], [-3.570016, 40.266415]]]}, 'attributes': {}}",@Beatriz09368108 @starsailor76 Una torrija bien rebozada miel que estamos en el tiempo,"{'id': 955526552, 'id_str': '955526552', 'name': 'Juan Carlos Tuya🇪🇸🇪🇸', 'screen_name': 'jctuya', 'location': None, 'url': None, 'description': 'Español, asturiano y getafense. Socio del Getafe, seguidor del Sporting.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 3378, 'friends_count': 4091, 'listed_count': 20, 'favourites_count': 21840, 'statuses_count': 38711, 'created_at': 'Sun Nov 18 13:49:30 +0000 2012', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1002645938844860418/Sqf6wnTS_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1002645938844860418/Sqf6wnTS_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/955526552/1362324731', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Getafe,"(-3.761318, 40.266415)",Madrid,yes
14,15,2019-04-11 08:33:56.000,1.116258067396612e+18,1.116258067396612e+18,es,"{'id': '1a27537478dd8e38', 'url': 'https://api.twitter.com/1.1/geo/id/1a27537478dd8e38.json', 'place_type': 'city', 'name': 'Barcelona', 'full_name': 'Barcelona, Espanya', 'country_code': 'ES', 'country': 'Espanya', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]}, 'attributes': {}}","@lleidalcor @Crack19291 Yo ahora mismo, de yogur de hamburguesa","{'id': 912939938, 'id_str': '912939938', 'name': 'Oskar ||*|| Jo soc massa tumultuària 😒😒😒', 'screen_name': 'oskarh71', 'location': 'La Almunia de Doña Godina', 'url': None, 'description': 'Des de fa més de 500 anys, els catalans hem estat uns imbècils. \r\n¿Es tracta, doncs, de deixar de ser catalans? \r\nNo, sinó de deixar de ser imbècils.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 2069, 'friends_count': 1482, 'listed_count': 2, 'favourites_count': 121632, 'statuses_count': 60653, 'created_at': 'Mon Oct 29 18:04:00 +0000 2012', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'ca', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '981CEB', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1088849068544221184/5CFxrM2P_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1088849068544221184/5CFxrM2P_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/912939938/1518788460', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",Espanya,Barcelona,"(2.052477, 41.317048)",Cataluña,yes
15,16,2019-04-11 08:34:05.000,1.1162581011649004e+18,1.1162581011649004e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}","@OkAndroid O no, la decoración siempre es una opción. Si le pones moras serían 5 y así hasta infinidad de imaginación. Jajaja","{'id': 219098570, 'id_str': '219098570', 'name': 'polvora🏳️\u200d🌈', 'screen_name': 'polvora83', 'location': 'Entre Andalucía y la Gran Vía', 'url': 'http://es.favstar.fm/users/polvora83', 'description': 'Rara y normal a partes iguales. Me crecieron las tetas con 20 años por el agua de Barcelona. Si no saltas, yo te empujo.\n\nMassiel era laísta.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 1357, 'friends_count': 336, 'listed_count': 43, 'favourites_count': 15860, 'statuses_count': 39323, 'created_at': 'Tue Nov 23 22:45:35 +0000 2010', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme10/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme10/bg.gif', 'profile_background_tile': True, 'profile_link_color': '009999', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1031445637819232261/zooZn-1L_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1031445637819232261/zooZn-1L_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/219098570/1548690862', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Madrid,"(-3.889005, 40.312071)",Madrid,yes
17,18,2019-04-11 08:35:25.000,1.1162584371160678e+18,1.1162584371160678e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",@manugrandelope Con las torrijas de mi madre no se juega.,"{'id': 80856048, 'id_str': '80856048', 'name': 'Loly Garrido', 'screen_name': 'LolyGarrido_', 'location': 'Madrid', 'url': 'https://gudog.com', 'description': 'CEO at @gudog 🐩', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 1264, 'friends_count': 457, 'listed_count': 42, 'favourites_count': 6645, 'statuses_count': 12756, 'created_at': 'Thu Oct 08 14:06:49 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '1A1B1F', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '020C0F', 'profile_sidebar_border_color': '030B1A', 'profile_sidebar_fill_color': '948ABF', 'profile_text_color': '0F090F', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1073660736772161536/l7ZHk0kv_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1073660736772161536/l7ZHk0kv_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/80856048/1544821271', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Madrid,"(-3.889005, 40.312071)",Madrid,yes
19,20,2019-04-11 08:37:15.000,1.1162588989384212e+18,1.1162588989384212e+18,es,"{'id': 'd1272bba8714df3d', 'url': 'https://api.twitter.com/1.1/geo/id/d1272bba8714df3d.json', 'place_type': 'city', 'name': 'Oviedo', 'full_name': 'Oviedo, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.0201, 43.278867], [-6.0201, 43.427428], [-5.7423, 43.427428], [-5.7423, 43.278867]]]}, 'attributes': {}}","Para setas, las que os metéis vosotros @LaLiga","{'id': 3973771793, 'id_str': '3973771793', 'name': 'Soldados de Anquela', 'screen_name': 'jsfovd', 'location': 'Oviedo / Barcelona ', 'url': None, 'description': 'Real Oviedo', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 425, 'friends_count': 614, 'listed_count': 3, 'favourites_count': 3245, 'statuses_count': 6609, 'created_at': 'Fri Oct 16 18:08:09 +0000 2015', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1108754884176809984/zSiX-_QI_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1108754884176809984/zSiX-_QI_normal.jpg', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Oviedo,"(-6.0201, 43.278867)",Asturias,yes
