,Unnamed: 0,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood
0,0,2019-04-15 00:06:08.000,1.1175798227949322e+18,1.1175798227949322e+18,es,"{'id': '3a9c654a445000f6', 'url': 'https://api.twitter.com/1.1/geo/id/3a9c654a445000f6.json', 'place_type': 'city', 'name': 'Getafe', 'full_name': 'Getafe, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.761318, 40.266415], [-3.761318, 40.334686], [-3.570016, 40.334686], [-3.570016, 40.266415]]]}, 'attributes': {}}",@ArcoDelPostigo y el capirote más aplastao que una torrija del mercadona,"{'id': 901937041, 'id_str': '901937041', 'name': 'Salva Rodríguez', 'screen_name': 'salvarodriguezr', 'location': 'London, England', 'url': None, 'description': 'De Cádiz del 89 | Chef based in London | Buiza |Cofrade | Vegetariano | Viajero empedernido | Mochilero | Animalista | ES🇪🇸/EN🇬🇧/GE🇩🇪', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 634, 'friends_count': 1189, 'listed_count': 9, 'favourites_count': 5588, 'statuses_count': 35182, 'created_at': 'Wed Oct 24 14:27:45 +0000 2012', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': False, 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'F4740C', 'profile_text_color': 'F9D418', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1093560467577098240/_KRzD1t__normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1093560467577098240/_KRzD1t__normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/901937041/1554219503', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Getafe,"(-3.761318, 40.266415)",Madrid,yes
1,1,2019-04-15 00:06:10.000,1.1175798342370428e+18,1.1175798342370428e+18,es,"{'id': 'c52827ebd9bfe563', 'url': 'https://api.twitter.com/1.1/geo/id/c52827ebd9bfe563.json', 'place_type': 'city', 'name': 'Jerez de la Frontera', 'full_name': 'Jerez de la Frontera, Spain', 'country_code': 'ES', 'country': 'Spain', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.306111, 36.516968], [-6.306111, 36.864413], [-5.455137, 36.864413], [-5.455137, 36.516968]]]}, 'attributes': {}}",“Me la pica el pollo “ 😂 @aitagarcia24 @Irianavega26,"{'id': 1047870056594649090, 'id_str': '1047870056594649090', 'name': 'Nuria', 'screen_name': 'NuriiPolo', 'location': 'Jerez de la Frontera, España', 'url': None, 'description': 'Atrévete más, piénsalo menos ...✨', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 74, 'friends_count': 108, 'listed_count': 0, 'favourites_count': 460, 'statuses_count': 259, 'created_at': 'Thu Oct 04 15:24:24 +0000 2018', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1110173283553546240/xWThUwYj_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1110173283553546240/xWThUwYj_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1047870056594649090/1538949730', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",Spain,Jerez de la Frontera,"(-6.306111, 36.516968)",Andalucía,yes
3,4,2019-04-15 00:12:36.000,1.1175814530664776e+18,1.1175814530664776e+18,es,"{'id': 'ffb7261abbaa67ed', 'url': 'https://api.twitter.com/1.1/geo/id/ffb7261abbaa67ed.json', 'place_type': 'city', 'name': 'Dos Hermanas', 'full_name': 'Dos Hermanas, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.06368, 37.1481], [-6.06368, 37.361766], [-5.8836569999999995, 37.361766], [-5.8836569999999995, 37.1481]]]}, 'attributes': {}}",Cuando veo que han comprado champiñones en casa 🥰,"{'id': 2282197282, 'id_str': '2282197282', 'name': 'Biolector.', 'screen_name': 'jorgito_1999_sg', 'location': 'Dos Hermanas, Andalucía', 'url': 'https://www.instagram.com/jorge_sg1999/', 'description': 'Facultad de Biología, US.\n                                                     🔴SFC🔴', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 202, 'friends_count': 162, 'listed_count': 0, 'favourites_count': 2409, 'statuses_count': 3168, 'created_at': 'Tue Jan 14 20:00:33 +0000 2014', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1091013913997701120/rUu3nUhv_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1091013913997701120/rUu3nUhv_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2282197282/1549057921', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Dos Hermanas,"(-6.06368, 37.1481)",Andalucía,yes
4,5,2019-04-15 00:15:19.000,1.1175821351861412e+18,1.1175821351861412e+18,es,"{'id': 'bb40a18222d997ca', 'url': 'https://api.twitter.com/1.1/geo/id/bb40a18222d997ca.json', 'place_type': 'city', 'name': 'Cullera', 'full_name': 'Cullera, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.30894, 39.103298], [-0.30894, 39.225414], [-0.21625899999999998, 39.225414], [-0.21625899999999998, 39.103298]]]}, 'attributes': {}}","Qué coño paella ni paella, pa miii joee. Aunque si una escucha ""mamá la tajada y los marisquitos pa mi""... Se viene… https://t.co/DRw9pTafvl","{'id': 215954058, 'id_str': '215954058', 'name': 'Rocio Rodriguez', 'screen_name': 'rociorjurado', 'location': 'Dos Hermanas, Sevilla, España', 'url': 'http://www.juntadeandalucia.es/empleo', 'description': 'Comunicar es un arte y yo siempre quise ser artista. Trabajo como periodista en la Delegación de @EmpleoJunta y @EconomiaAnd @JuntaSevilla.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 674, 'friends_count': 638, 'listed_count': 58, 'favourites_count': 554, 'statuses_count': 3144, 'created_at': 'Mon Nov 15 11:48:28 +0000 2010', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/378800000138607284/4404897cb5d5834fab83e8e401745d88_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/378800000138607284/4404897cb5d5834fab83e8e401745d88_normal.jpeg', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Cullera,"(-0.30894, 39.103298)",Comunidad Valenciana,yes
5,6,2019-04-15 00:19:52.000,1.1175832809818522e+18,1.1175832809818522e+18,es,"{'id': '1a27537478dd8e38', 'url': 'https://api.twitter.com/1.1/geo/id/1a27537478dd8e38.json', 'place_type': 'city', 'name': 'Barcelona', 'full_name': 'Barcelona, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]}, 'attributes': {}}","@Juanmi_News No se puede pedir peras al olmo. No es que sea reaccionario, es que es t...","{'id': 1024236365083549696, 'id_str': '1024236365083549696', 'name': 'EmilyDick', 'screen_name': 'EmilyDick47', 'location': None, 'url': None, 'description': 'Jo no sóc ningú, qui ets tu?\nJo no soy nadie, Quien eres tu?', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 190, 'friends_count': 777, 'listed_count': 0, 'favourites_count': 589, 'statuses_count': 3417, 'created_at': 'Tue Jul 31 10:12:33 +0000 2018', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '981CEB', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1024242234072489984/QtXbL-tN_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1024242234072489984/QtXbL-tN_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1024236365083549696/1533033222', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Barcelona,"(2.052477, 41.317048)",Cataluña,yes
6,7,2019-04-15 00:20:56.000,1.1175835474208932e+18,1.1175835474208932e+18,es,"{'id': 'ea520f3528c9b3e4', 'url': 'https://api.twitter.com/1.1/geo/id/ea520f3528c9b3e4.json', 'place_type': 'admin', 'name': 'Madrid', 'full_name': 'Madrid, Comunidad de Madrid', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.579175, 39.884537], [-4.579175, 41.164911], [-3.053132, 41.164911], [-3.053132, 39.884537]]]}, 'attributes': {}}","Z-LIQUID 50+10ML
sabor a yogurt helado con arándanos!
https://t.co/bT77c0jX6o

#vapormadrid #VapeMoniadas #Zliquid… https://t.co/fduQQXrWL8","{'id': 1232259984, 'id_str': '1232259984', 'name': 'www.Vapor-Madrid.es', 'screen_name': 'VaporMadrid', 'location': '28034, Madrid', 'url': 'http://www.vapor-madrid.es', 'description': 'Nosotros somos conocedores del material q vendemos, también somos consumidores hemos probado y usamos nuestro propio material, y podemos aconsejar eficazmente', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 478, 'friends_count': 1325, 'listed_count': 18, 'favourites_count': 66, 'statuses_count': 4787, 'created_at': 'Sat Mar 02 00:54:58 +0000 2013', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme17/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme17/bg.gif', 'profile_background_tile': True, 'profile_link_color': 'FF0000', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '1D1D1D', 'profile_text_color': '892DD8', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/741652956085424128/Fd1eniQ4_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/741652956085424128/Fd1eniQ4_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1232259984/1465659200', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Madrid,"(-4.579175, 39.884537)",Madrid,yes
7,8,2019-04-15 00:21:16.000,1.1175836339952722e+18,1.1175836339952722e+18,es,"{'id': 'cbdb0e7018443220', 'url': 'https://api.twitter.com/1.1/geo/id/cbdb0e7018443220.json', 'place_type': 'city', 'name': 'Murcia', 'full_name': 'Murcia, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-1.385233, 37.715968], [-1.385233, 38.117714], [-0.850358, 38.117714], [-0.850358, 37.715968]]]}, 'attributes': {}}","@MJRuizCatalonia dskasdkaskdlaksdaskllkdls esto envejece como el vino
mila cantando como un camionero
el arrrrrrrib… https://t.co/jqTONeO4g8","{'id': 886618382, 'id_str': '886618382', 'name': 'Elías', 'screen_name': 'pierdoaceite1', 'location': 'Land of Crespillos', 'url': None, 'description': 'toñi prieto quien que lo lea', 'translator_type': 'regular', 'protected': False, 'verified': False, 'followers_count': 735, 'friends_count': 433, 'listed_count': 23, 'favourites_count': 30815, 'statuses_count': 34383, 'created_at': 'Wed Oct 17 11:21:13 +0000 2012', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '3C2C22', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': 'ABB8C2', 'profile_sidebar_border_color': '7A5C45', 'profile_sidebar_fill_color': '281E17', 'profile_text_color': '7A5C45', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1109324071240638467/he7Wxj4x_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1109324071240638467/he7Wxj4x_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/886618382/1522888029', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Murcia,"(-1.385233, 37.715968)",Murcia,yes
8,9,2019-04-15 00:21:34.000,1.1175837068337398e+18,1.1175837068337398e+18,es,"{'id': 'b3112c55f433b0e4', 'url': 'https://api.twitter.com/1.1/geo/id/b3112c55f433b0e4.json', 'place_type': 'city', 'name': 'Azuqueca de Henares', 'full_name': 'Azuqueca de Henares, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.297113, 40.530715], [-3.297113, 40.583364], [-3.229949, 40.583364], [-3.229949, 40.530715]]]}, 'attributes': {}}",@mer_pm mañana tocaria un cafe bien cargado en el Iris para comentar el episodio de hoy :) :) :),"{'id': 84947868, 'id_str': '84947868', 'name': 'Sergio Gómez', 'screen_name': 'ishander75', 'location': 'Madrid', 'url': None, 'description': 'Soy analógico....contengo informacion que no se puede procesar en 0 y 1.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 339, 'friends_count': 570, 'listed_count': 21, 'favourites_count': 798, 'statuses_count': 2488, 'created_at': 'Sat Oct 24 21:59:16 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '0A0A0A', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '0F0E0F', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/3016194736/9773c8b672830e2adddc17cce2fac822_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/3016194736/9773c8b672830e2adddc17cce2fac822_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/84947868/1417367135', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Azuqueca de Henares,"(-3.297113, 40.530715)",Castilla la Mancha,yes
9,10,2019-04-15 00:22:05.000,1.1175838370500812e+18,1.1175838370500812e+18,es,"{'id': '81b394f2fd369fbd', 'url': 'https://api.twitter.com/1.1/geo/id/81b394f2fd369fbd.json', 'place_type': 'city', 'name': 'Torrent', 'full_name': 'Torrent, España', 'country_code': 'ES', 'country': 'Spain', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.617084, 39.386959], [-0.617084, 39.449597], [-0.435364, 39.449597], [-0.435364, 39.386959]]]}, 'attributes': {}}",@LRojo__ @Naranj1t0 Si os vais a NY me tatúo un trozo de queso! Gracias por lo que estáis haciendo por la comunidad!💚💚💚,"{'id': 1012075521428115456, 'id_str': '1012075521428115456', 'name': 'PiLladOxX', 'screen_name': 'All_PiLladOxX', 'location': 'Valencia, España', 'url': None, 'description': 'Jugador de Fortnite competitivo! +1000 wins Ps4 @Alliance eSport', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 84, 'friends_count': 246, 'listed_count': 0, 'favourites_count': 1115, 'statuses_count': 916, 'created_at': 'Wed Jun 27 20:49:42 +0000 2018', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1043279775169748993/OwPk6HZ6_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1043279775169748993/OwPk6HZ6_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1012075521428115456/1537572257', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",Spain,Torrent,"(-0.617084, 39.386959)",Cataluña,yes
10,12,2019-04-15 00:27:09.000,1.1175851119255798e+18,1.1175851119255798e+18,es,"{'id': 'd87047cfb03df546', 'url': 'https://api.twitter.com/1.1/geo/id/d87047cfb03df546.json', 'place_type': 'city', 'name': 'Mollina', 'full_name': 'Mollina, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.694089, 37.07203], [-4.694089, 37.202093], [-4.594758, 37.202093], [-4.594758, 37.07203]]]}, 'attributes': {}}",Si preguntas eso tienes un problema en el coco grave,"{'id': 1285962708, 'id_str': '1285962708', 'name': 'Sheeeeeeeeeeen', 'screen_name': 'Madhoul', 'location': 'Málaga, Andalucía', 'url': None, 'description': 'Antes era emo tweetstar, ahora que no me corto las venas ya nadie me conoce. Me gusta la tortilla y tu culito,pero no mg tu culito y mis huevos en una tortilla.', 'translator_type': 'regular', 'protected': False, 'verified': False, 'followers_count': 453, 'friends_count': 324, 'listed_count': 8, 'favourites_count': 5398, 'statuses_count': 29306, 'created_at': 'Thu Mar 21 13:28:08 +0000 2013', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_link_color': 'ABB8C2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1080565276461199361/vYD5uQTM_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1080565276461199361/vYD5uQTM_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1285962708/1539119554', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Mollina,"(-4.694089, 37.07203)",Andalucía,yes
