,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood,Foods,Calorias,Hidratos de Carbono,Grasas,Proteinas,Colesterol,Fibra,Categorías,Gender
10,10,10,15,21,2019-04-07 00:52:09.000,1.1146923022225244e+18,1.1146923022225244e+18,es,"{'id': '387b00909c2e7031', 'url': 'https://api.twitter.com/1.1/geo/id/387b00909c2e7031.json', 'place_type': 'city', 'name': 'Granada', 'full_name': 'Granada, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.699796, 37.135903], [-3.699796, 37.224915], [-3.496139, 37.224915], [-3.496139, 37.135903]]]}, 'attributes': {}}","@Arroba9397 Bueno como quieras, pero también tenemos refrescos, cerveza y vinos 😉",ele,España,Granada,"(-3.699796, 37.135903)",Andalucía,yes,"['vino', 'cerveza']",113.0,3.42,0.0,0.73,0.0,0.0,"['Bebidas Alcoholicas', 'Bebidas Alcoholicas']",female
11,11,11,17,24,2019-04-07 01:01:53.000,1.114694751687725e+18,1.114694751687725e+18,es,"{'id': '37e754d0754260ac', 'url': 'https://api.twitter.com/1.1/geo/id/37e754d0754260ac.json', 'place_type': 'city', 'name': 'Salamanca', 'full_name': 'Salamanca, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-5.735855, 40.914417], [-5.735855, 40.994337], [-5.622439, 40.994337], [-5.622439, 40.914417]]]}, 'attributes': {}}",Me acaban de decir que soy el tomate del arroz 💞,Agapito,España,Salamanca,"(-5.735855, 40.914417)",Castilla y León,yes,['arroz'],387.0,172.0,0.9,7.0,0.0,0.2,['Cereales y derivados'],male
12,12,12,18,25,2019-04-07 01:07:45.000,1.1146962291732562e+18,1.1146962291732562e+18,es,"{'id': '071a52d3a927a1b8', 'url': 'https://api.twitter.com/1.1/geo/id/071a52d3a927a1b8.json', 'place_type': 'city', 'name': 'Valencia', 'full_name': 'Valencia, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.43254499999999996, 39.278381], [-0.43254499999999996, 39.566588], [-0.272513, 39.566588], [-0.272513, 39.278381]]]}, 'attributes': {}}",@moraga300 El olor a chorizo sudao ya no me mola tanto,Mocatriz,España,Valencia,"(-0.43254499999999996, 39.278381)",Comunidad Valenciana,yes,['chorizo'],323.0,1.9,23.1,27.0,72.6,0.0,['Carnes'],
13,13,13,22,31,2019-04-07 01:20:16.000,1.1146993790787624e+18,1.1146993790787624e+18,es,"{'id': '74726fb3c92d7037', 'url': 'https://api.twitter.com/1.1/geo/id/74726fb3c92d7037.json', 'place_type': 'city', 'name': 'Badajoz', 'full_name': 'Badajoz, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-7.1602879999999995, 38.554325], [-7.1602879999999995, 39.194551], [-6.552066, 39.194551], [-6.552066, 38.554325]]]}, 'attributes': {}}",@C4N4R1ON @TeHagoLaVaina Los plátanos de Canarias papá,MV,España,Badajoz,"(-7.1602879999999995, 38.554325)",Extremadura,yes,"['plátano', 'plátanos']",178.0,80.0,0.6,2.4,0.0,6.8,"['Frutas', 'Frutas']",male
14,14,14,23,32,2019-04-07 01:20:19.000,1.1146993895645348e+18,1.1146993895645348e+18,es,"{'id': '3a9c654a445000f6', 'url': 'https://api.twitter.com/1.1/geo/id/3a9c654a445000f6.json', 'place_type': 'city', 'name': 'Getafe', 'full_name': 'Getafe, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.761318, 40.266415], [-3.761318, 40.334686], [-3.570016, 40.334686], [-3.570016, 40.266415]]]}, 'attributes': {}}","@Narfullero Seguro que mi té de mango, es mejor.. 😏😏",MaquinoteMan,España,Getafe,"(-3.761318, 40.266415)",Madrid,yes,['té'],36.0,2.45,2.3654,1.7,7.0,0.0,['Bebidas'],
15,15,15,24,33,2019-04-07 01:21:27.000,1.1146996777384591e+18,1.1146996777384591e+18,es,"{'id': 'd1272bba8714df3d', 'url': 'https://api.twitter.com/1.1/geo/id/d1272bba8714df3d.json', 'place_type': 'city', 'name': 'Oviedo', 'full_name': 'Oviedo, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.0201, 43.278867], [-6.0201, 43.427428], [-5.7423, 43.427428], [-5.7423, 43.278867]]]}, 'attributes': {}}",@Xtantos ni harto de vino marco yo esa X en vuestra casilla,David,España,Oviedo,"(-6.0201, 43.278867)",Asturias,yes,['vino'],71.0,0.3,0.0,0.23,0.0,0.0,['Bebidas Alcoholicas'],male
16,16,16,25,34,2019-04-07 01:25:41.000,1.1147007411160352e+18,1.1147007411160352e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}","me he comido un burrito, galletas y puré de verduras y estoy literalmente MUERTA de hambre pero en plan que me comí… https://t.co/wtAPAcHtkW",,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['galletas'],483.0,64.31,21.77,6.76,50.17,3.21,['Dulces'],male
17,17,17,26,35,2019-04-07 01:27:52.000,1.1147012906706289e+18,1.1147012906706289e+18,es,"{'id': '507a015cba6ef518', 'url': 'https://api.twitter.com/1.1/geo/id/507a015cba6ef518.json', 'place_type': 'city', 'name': 'Málaga', 'full_name': 'Málaga, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.587928, 36.635585], [-4.587928, 36.894171], [-4.260134, 36.894171], [-4.260134, 36.635585]]]}, 'attributes': {}}","Soy de lo que no hay. Me quede sopa a las 00:00 o así y me he desvelado y AHORA NO ME PUEDO DORMIR 😠

Pues me veré alguna película o algo 🙃",Alex,España,Málaga,"(-4.587928, 36.635585)",Andalucía,yes,['sopa'],321.0,58.24,4.34,10.99,74.0,2.2,['Sopas'],male
18,18,18,29,38,2019-04-07 02:02:49.000,1.1147100854255985e+18,1.1147100854255985e+18,es,"{'id': '754849877ce438e6', 'url': 'https://api.twitter.com/1.1/geo/id/754849877ce438e6.json', 'place_type': 'city', 'name': 'Aljaraque', 'full_name': 'Aljaraque, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-7.078277, 37.253433], [-7.078277, 37.308403], [-6.97224, 37.308403], [-6.97224, 37.253433]]]}, 'attributes': {}}","Cogimos una bolsa que habia de frutos secos y la metimos en la mochila. Metimos tambien dos empanadas de atun porque no se, se me antojo.",cristian,España,Aljaraque,"(-7.078277, 37.253433)",Andalucía,yes,['frutos secos'],594.0,25.35,51.45,17.3,0.0,9.0,['Frutos secos'],male
19,19,19,30,40,2019-04-07 02:03:43.000,1.1147103127820042e+18,1.1147103127820042e+18,es,"{'id': '754849877ce438e6', 'url': 'https://api.twitter.com/1.1/geo/id/754849877ce438e6.json', 'place_type': 'city', 'name': 'Aljaraque', 'full_name': 'Aljaraque, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-7.078277, 37.253433], [-7.078277, 37.308403], [-6.97224, 37.308403], [-6.97224, 37.253433]]]}, 'attributes': {}}",Nos reencontramos con Maria y empezamos a comer frutos secos como sino hubiera un mañana.,cristian,España,Aljaraque,"(-7.078277, 37.253433)",Andalucía,yes,['frutos secos'],594.0,25.35,51.45,17.3,0.0,9.0,['Frutos secos'],male
