,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood,Foods,Calorias,Hidratos de Carbono,Grasas,Proteinas,Colesterol,Fibra,Categorías,Gender
0,0,0,5,7,2019-04-18 19:42:50.000,1.118963113045504e+18,1.118963113045504e+18,es,"{'id': 'd84973286cfd241b', 'url': 'https://api.twitter.com/1.1/geo/id/d84973286cfd241b.json', 'place_type': 'city', 'name': 'Móstoles', 'full_name': 'Móstoles, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.945389, 40.285747], [-3.945389, 40.35406], [-3.841063, 40.35406], [-3.841063, 40.285747]]]}, 'attributes': {}}",Que asco las torrijas,,España,Móstoles,"(-3.945389, 40.285747)",Madrid,yes,"['torrija', 'torrijas']",472.0,36.62,32.0,10.12,176.0,2.0,"['Cereales y derivados', 'Cereales y derivados']",female
1,1,1,7,10,2019-04-18 19:46:36.000,1.1189640629672264e+18,1.1189640629672264e+18,es,"{'id': '0582a9b00201cfd7', 'url': 'https://api.twitter.com/1.1/geo/id/0582a9b00201cfd7.json', 'place_type': 'city', 'name': 'La Almunia de Doña Godina', 'full_name': 'La Almunia de Doña Godina, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-1.453744, 41.430098], [-1.453744, 41.522403], [-1.277952, 41.522403], [-1.277952, 41.430098]]]}, 'attributes': {}}","@victorjuan @Majudi46 Bien de patata y cebolla hermano, échale unas buenas chullas de tozino betiau para acompañar.",sevegodina,España,La Almunia de Doña Godina,"(-1.453744, 41.430098)",Aragón,yes,['cebolla'],26.0,5.3,0.0,1.125,0.0,1.8,['Vegetales'],
2,2,2,8,11,2019-04-18 19:46:44.000,1.1189640957037692e+18,1.1189640957037692e+18,es,"{'id': '910495785831d06f', 'url': 'https://api.twitter.com/1.1/geo/id/910495785831d06f.json', 'place_type': 'city', 'name': 'Mijas', 'full_name': 'Mijas, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.7764109999999995, 36.486301], [-4.7764109999999995, 36.625547], [-4.592122, 36.625547], [-4.592122, 36.486301]]]}, 'attributes': {}}",@C85FG @fnmoraleda @fjcristofol @101tvMalaga Tiene buena pinta la paella.,Jorgenberg,España,Mijas,"(-4.7764109999999995, 36.486301)",Andalucía,yes,['paella'],173.0,17.44,5.74,12.37,44.81,0.5,['Cereales y derivados'],
3,3,3,10,14,2019-04-18 19:48:20.000,1.1189645003996284e+18,1.1189645003996284e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",los de los 40€ invitadme a una pizza,A,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['pizza'],477.0,22.2,9.8,8.2,16.0,1.7,['Comida rapida'],male
4,4,4,11,15,2019-04-18 19:48:54.000,1.1189646419490038e+18,1.1189646419490038e+18,es,"{'id': '62f693a592bb3e95', 'url': 'https://api.twitter.com/1.1/geo/id/62f693a592bb3e95.json', 'place_type': 'city', 'name': 'Argecilla', 'full_name': 'Argecilla, España', 'country_code': 'ES', 'country': 'Spain', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-2.865485, 40.843304], [-2.865485, 40.924058], [-2.769919, 40.924058], [-2.769919, 40.843304]]]}, 'attributes': {}}","Bonito detalle de la #aerolínea @tapairportugal ✌🏻, queso, galletas y agua. Me ha encantado el #packaging https://t.co/29CvGerlXR",Raquel,Spain,Argecilla,"(-2.865485, 40.843304)",Castilla la Mancha,yes,"['queso', 'galletas']",933.0,64.82000000000001,55.77,42.53,124.57,3.21,"['Productos lacteos', 'Dulces']",female
5,5,5,12,16,2019-04-18 19:48:58.000,1.1189646588058584e+18,1.1189646588058584e+18,es,"{'id': '071a52d3a927a1b8', 'url': 'https://api.twitter.com/1.1/geo/id/071a52d3a927a1b8.json', 'place_type': 'city', 'name': 'Valencia', 'full_name': 'Valencia, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.43254499999999996, 39.278381], [-0.43254499999999996, 39.566588], [-0.272513, 39.566588], [-0.272513, 39.278381]]]}, 'attributes': {}}","@mablanco60 @natalia_velilla @adsuara Es que a mi la cebolla no me gusta, no en la tortilla ni fuera de ella 😂😂😂😂",Pucho,España,Valencia,"(-0.43254499999999996, 39.278381)",Comunidad Valenciana,yes,"['cebolla', 'nata', 'tortilla']",398.0,9.1,32.26,18.235,420.0,1.8,"['Vegetales', 'Productos lacteos', 'Productos avícolas']",male
6,6,6,15,21,2019-04-18 19:50:29.000,1.1189650407182048e+18,1.1189650407182048e+18,es,"{'id': '590e9f3315ea23a7', 'url': 'https://api.twitter.com/1.1/geo/id/590e9f3315ea23a7.json', 'place_type': 'city', 'name': 'Santander', 'full_name': 'Santander, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889051, 43.434462], [-3.889051, 43.494818], [-3.763247, 43.494818], [-3.763247, 43.434462]]]}, 'attributes': {}}",@SunSwallowMe Espero que eso sean ciruelas,Brócoli,España,Santander,"(-3.889051, 43.434462)",Cantabria,yes,"['ciruela', 'ciruelas']",108.0,48.0,0.4,1.5,0.0,4.6,"['Frutas', 'Frutas']",
7,7,7,16,22,2019-04-18 19:51:32.000,1.1189653058317764e+18,1.1189653058317764e+18,es,"{'id': '3afc29d1fe76301f', 'url': 'https://api.twitter.com/1.1/geo/id/3afc29d1fe76301f.json', 'place_type': 'city', 'name': 'Zaragoza', 'full_name': 'Zaragoza, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-1.174093, 41.451835], [-1.174093, 41.931438], [-0.680572, 41.931438], [-0.680572, 41.451835]]]}, 'attributes': {}}","Semana Santa en Zaragoza.
.
.
.
.
.
#nitanmal #zaragoza #cerveza @ Belanche cervecería marisqueria https://t.co/3z7QjlqngW",Paco,España,Zaragoza,"(-1.174093, 41.451835)",Aragón,yes,['cerveza'],42.0,3.12,0.0,0.5,0.0,0.0,['Bebidas Alcoholicas'],male
8,8,8,17,24,2019-04-18 19:54:02.000,1.1189659314164776e+18,1.1189659314164776e+18,es,"{'id': '0d59895a1a287dbd', 'url': 'https://api.twitter.com/1.1/geo/id/0d59895a1a287dbd.json', 'place_type': 'city', 'name': 'Huéscar', 'full_name': 'Huéscar, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-2.729605, 37.763474], [-2.729605, 38.083862], [-2.444427, 38.083862], [-2.444427, 37.763474]]]}, 'attributes': {}}","Noche de pizza, palomitas y cine. en Huéscar https://t.co/Lq2HwSxhAz",txillo,España,Huéscar,"(-2.729605, 37.763474)",Andalucía,yes,['pizza'],477.0,22.2,9.8,8.2,16.0,1.7,['Comida rapida'],
9,9,9,20,27,2019-04-18 19:56:22.000,1.1189665190886031e+18,1.1189665190886031e+18,es,"{'id': '983a7dea07a7bcd4', 'url': 'https://api.twitter.com/1.1/geo/id/983a7dea07a7bcd4.json', 'place_type': 'city', 'name': 'Estepona', 'full_name': 'Estepona, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-5.219826, 36.386766], [-5.219826, 36.535606], [-5.005087, 36.535606], [-5.005087, 36.386766]]]}, 'attributes': {}}","Hoy pizza para cenar 🤣🤣🤣🤣🤣

Merluza y judias verdes.😅

DHS NUTRICIÓN Y SALUD

3 2 1... tu operación bikini empieza… https://t.co/M6cVxISJlb",David,España,Estepona,"(-5.219826, 36.386766)",Andalucía,yes,['pizza'],477.0,22.2,9.8,8.2,16.0,1.7,['Comida rapida'],male
