,Unnamed: 0,Unnamed: 0.1,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood,Foods,Calorias,Hidratos de Carbono,Grasas,Proteinas,Colesterol,Fibra,Categorías
0,1,1,2019-04-22 00:11:34.000,1.1201179087373312e+18,1.1201179087373312e+18,es,"{'id': '1a27537478dd8e38', 'url': 'https://api.twitter.com/1.1/geo/id/1a27537478dd8e38.json', 'place_type': 'city', 'name': 'Barcelona', 'full_name': 'Barcelona, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]}, 'attributes': {}}",@jesuscasasola @LauraBorras se comió con patatas a todos! impresionante @LauraBorras,"{'id': 105800443, 'id_str': '105800443', 'name': 'pablo rivera vargas', 'screen_name': 'pabloriverabcn', 'location': 'Barcelona, España', 'url': 'https://webgrec.ub.edu/webpages/personal/cas/002505_pablorivera.ub.edu.html', 'description': 'Phd, Sociólogo y Cientista Político; Padre y Profesor; Analista en Educación, Sociedad Digital y en Política Educativa.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 834, 'friends_count': 693, 'listed_count': 17, 'favourites_count': 2374, 'statuses_count': 2365, 'created_at': 'Sun Jan 17 14:35:45 +0000 2010', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_tile': False, 'profile_link_color': '4A913C', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/792816511316557824/2zvmLq5R_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/792816511316557824/2zvmLq5R_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/105800443/1494341290', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Barcelona,"(2.052477, 41.317048)",Cataluña,yes,['patatas'],538.0,49.5,34.9,6.5,0.0,4.0,['Vegetales']
1,2,2,2019-04-22 00:14:09.000,1.1201185555870392e+18,1.1201185555870392e+18,es,"{'id': '3afc29d1fe76301f', 'url': 'https://api.twitter.com/1.1/geo/id/3afc29d1fe76301f.json', 'place_type': 'city', 'name': 'Zaragoza', 'full_name': 'Zaragoza, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-1.174093, 41.451835], [-1.174093, 41.931438], [-0.680572, 41.931438], [-0.680572, 41.451835]]]}, 'attributes': {}}",@aveasvargas Zanahoria de trigo? Eso como se come jajajaja. Ese traductor traduce peor que el google jajaja.,"{'id': 536800235, 'id_str': '536800235', 'name': 'Carmen Huguet Tapia', 'screen_name': 'Carmhuguet', 'location': 'Zaragoza, España', 'url': None, 'description': 'Veterinaria, feminista.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 149, 'friends_count': 402, 'listed_count': 0, 'favourites_count': 13143, 'statuses_count': 5627, 'created_at': 'Mon Mar 26 01:11:33 +0000 2012', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'EBEBEB', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme7/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme7/bg.gif', 'profile_background_tile': True, 'profile_link_color': '990000', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'F3F3F3', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1089189579549220864/I9riF_72_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1089189579549220864/I9riF_72_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/536800235/1384656920', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Zaragoza,"(-1.174093, 41.451835)",Aragón,yes,['trigo'],314.0,122.0,4.0,11.7,0.0,10.3,['Cereales y derivados']
2,3,3,2019-04-22 00:15:47.000,1.120118967262163e+18,1.120118967262163e+18,es,"{'id': '507a015cba6ef518', 'url': 'https://api.twitter.com/1.1/geo/id/507a015cba6ef518.json', 'place_type': 'city', 'name': 'Málaga', 'full_name': 'Málaga, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.587928, 36.635585], [-4.587928, 36.894171], [-4.260134, 36.894171], [-4.260134, 36.635585]]]}, 'attributes': {}}","Acabó convenciéndolo cuando le dio un poco de su helado de zalamería escarchada.

#microcuentos #microcuento #FelizLunes #poémame","{'id': 288177947, 'id_str': '288177947', 'name': 'Román G. Camas', 'screen_name': 'RomanGCamas', 'location': 'Málaga, España', 'url': 'https://aceneditorial.es/libro/no-ti-empo-edo/', 'description': '📚 Escritor invitado en @microcuentoEs y autor del libro de microcuentos «No es por ti (empo). Es por mí (edo)» (@aceneditorial).', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 1629, 'friends_count': 783, 'listed_count': 18, 'favourites_count': 4340, 'statuses_count': 2463, 'created_at': 'Tue Apr 26 11:29:37 +0000 2011', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/846088468866437120/o3ArT7x1_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/846088468866437120/o3ArT7x1_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/288177947/1509914973', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Málaga,"(-4.587928, 36.635585)",Andalucía,yes,['helado'],228.0,28.2,11.0,3.8,34.0,1.2,['Productos lacteos']
3,4,4,2019-04-22 00:16:20.000,1.1201191068025242e+18,1.1201191068025242e+18,es,"{'id': '07f70a23853105b1', 'url': 'https://api.twitter.com/1.1/geo/id/07f70a23853105b1.json', 'place_type': 'city', 'name': 'Lugo', 'full_name': 'Lugo, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-7.735264, 42.882574], [-7.735264, 43.098682], [-7.405997, 43.098682], [-7.405997, 42.882574]]]}, 'attributes': {}}",@CapitnRex13 @lorocha888 @mary_pg Yo no como ese helado directamente... No me gusta 😎,"{'id': 73440842, 'id_str': '73440842', 'name': 'sheila perez', 'screen_name': 'sheila_p_g', 'location': None, 'url': None, 'description': None, 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 84, 'friends_count': 101, 'listed_count': 0, 'favourites_count': 28693, 'statuses_count': 2762, 'created_at': 'Fri Sep 11 17:51:37 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '91D2FA', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/906905796830793728/qM5vFXqH_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/906905796830793728/qM5vFXqH_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/73440842/1505058167', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Lugo,"(-7.735264, 42.882574)",Galicia,yes,['helado'],228.0,28.2,11.0,3.8,34.0,1.2,['Productos lacteos']
4,5,5,2019-04-22 00:20:21.000,1.1201201155954976e+18,1.1201201155954976e+18,es,"{'id': '2e858e47881ddc48', 'url': 'https://api.twitter.com/1.1/geo/id/2e858e47881ddc48.json', 'place_type': 'city', 'name': 'Alicante', 'full_name': 'Alicante, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.6564329999999999, 38.160348], [-0.6564329999999999, 38.537463], [-0.37460899999999997, 38.537463], [-0.37460899999999997, 38.160348]]]}, 'attributes': {}}",@XxRukenshinxX Si me pongo los arnés de SNK parezco un trozo de carne de esos atados con cuerdas xDDD,"{'id': 926512765, 'id_str': '926512765', 'name': 'Ikana Mirlo Jaeger ❁', 'screen_name': 'Ikana93', 'location': 'Kakariko Village', 'url': 'https://www.youtube.com/channel/UCzgGbS8puhZcFYSxa0jL9TA?view_as=subscriber', 'description': '♀, animalista, Nintendo, Blizzard. 25 años, tres gatos y un perro. http://youtube.com/channel/UCzgGb…', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 649, 'friends_count': 538, 'listed_count': 5, 'favourites_count': 41992, 'statuses_count': 25589, 'created_at': 'Mon Nov 05 00:35:51 +0000 2012', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'FFFFFF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_link_color': '981CEB', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1109786559140777987/c1FLZ_gg_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1109786559140777987/c1FLZ_gg_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/926512765/1450015642', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Alicante,"(-0.6564329999999999, 38.160348)",Comunidad Valenciana,yes,['carne'],80.75,0.0,8.0,22.1,66.7,0.0,['Carnes']
5,9,9,2019-04-22 00:33:00.000,1.1201232999362068e+18,1.1201232999362068e+18,es,"{'id': '071a52d3a927a1b8', 'url': 'https://api.twitter.com/1.1/geo/id/071a52d3a927a1b8.json', 'place_type': 'city', 'name': 'Valencia', 'full_name': 'Valencia, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.43254499999999996, 39.278381], [-0.43254499999999996, 39.566588], [-0.272513, 39.566588], [-0.272513, 39.278381]]]}, 'attributes': {}}",@asopo1 @xgisselaceli @vox_es @PartidoPACMA @PSOE @ahorapodemos Ser ecologista y comer carne no tiene mucha lógica.,"{'id': 700415869755777024, 'id_str': '700415869755777024', 'name': 'Azul.', 'screen_name': 'ivedda6', 'location': 'Valencia, España', 'url': 'https://instagram.com/kleine_android_483', 'description': 'No soy amable ni aunque me paguen.\nLa pansexualidad no existe.\n#TransFem\nAgender Ø\nDisca.\nSupport.\nLG[B][T]\nExistir es resistir.\nSeguramente me caes mal.\n\n♀', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 213, 'friends_count': 379, 'listed_count': 4, 'favourites_count': 20685, 'statuses_count': 6733, 'created_at': 'Thu Feb 18 20:25:31 +0000 2016', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1033532535911772160/F3rpeQC__normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1033532535911772160/F3rpeQC__normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/700415869755777024/1550268454', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Valencia,"(-0.43254499999999996, 39.278381)",Comunidad Valenciana,yes,['carne'],80.75,0.0,8.0,22.1,66.7,0.0,['Carnes']
6,12,12,2019-04-22 00:39:40.000,1.1201249776243588e+18,1.1201249776243588e+18,es,"{'id': '071a52d3a927a1b8', 'url': 'https://api.twitter.com/1.1/geo/id/071a52d3a927a1b8.json', 'place_type': 'city', 'name': 'Valencia', 'full_name': 'Valencia, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.43254499999999996, 39.278381], [-0.43254499999999996, 39.566588], [-0.272513, 39.566588], [-0.272513, 39.278381]]]}, 'attributes': {}}","@Korind ¿Sigues en Berlín? No verdad? Va, marchando un plato con hielo para un té hirviendo! 🖤","{'id': 245837735, 'id_str': '245837735', 'name': 'Arωen ★ @SLO', 'screen_name': 'ViirDreamer', 'location': 'A 365 km', 'url': 'https://curiouscat.me/__Arwen__', 'description': ""Atm helping teams but Manager and Scouter LFT. Working for @meltdownvlc 💚  Don't expect anything from anyone.🍀Always Ninja⚔️"", 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 1436, 'friends_count': 782, 'listed_count': 30, 'favourites_count': 13348, 'statuses_count': 104339, 'created_at': 'Tue Feb 01 15:43:08 +0000 2011', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '000000', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '78C0A8', 'profile_text_color': 'CE7834', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1053663425635803136/gLvHCDxL_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1053663425635803136/gLvHCDxL_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/245837735/1554100566', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Valencia,"(-0.43254499999999996, 39.278381)",Comunidad Valenciana,yes,['té'],36.0,2.45,2.3654,1.7,7.0,0.0,['Bebidas']
7,17,19,2019-04-22 01:08:05.000,1.1201321304016732e+18,1.1201321304016732e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",@dirtyIiar literalmente yo comiendo queso,"{'id': 3463200797, 'id_str': '3463200797', 'name': 'helena', 'screen_name': 'Helen_bfd', 'location': 'Madrid, España', 'url': None, 'description': 'con h xfa', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 335, 'friends_count': 252, 'listed_count': 1, 'favourites_count': 3019, 'statuses_count': 2532, 'created_at': 'Fri Aug 28 00:56:04 +0000 2015', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1114285790408867843/hHOIQLe7_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1114285790408867843/hHOIQLe7_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/3463200797/1554583872', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['queso'],450.0,0.51,34.0,35.77,74.4,0.0,['Productos lacteos']
8,19,21,2019-04-22 01:09:05.000,1.1201323797991136e+18,1.1201323797991136e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}","absolutamente nadie: h
yo: sí bueno es que el queso es un super alimento","{'id': 3463200797, 'id_str': '3463200797', 'name': 'helena', 'screen_name': 'Helen_bfd', 'location': 'Madrid, España', 'url': None, 'description': 'con h xfa', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 335, 'friends_count': 252, 'listed_count': 1, 'favourites_count': 3019, 'statuses_count': 2533, 'created_at': 'Fri Aug 28 00:56:04 +0000 2015', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1114285790408867843/hHOIQLe7_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1114285790408867843/hHOIQLe7_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/3463200797/1554583872', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['queso'],450.0,0.51,34.0,35.77,74.4,0.0,['Productos lacteos']
9,23,25,2019-04-22 01:19:54.000,1.1201351058240308e+18,1.1201351058240308e+18,es,"{'id': '1a27537478dd8e38', 'url': 'https://api.twitter.com/1.1/geo/id/1a27537478dd8e38.json', 'place_type': 'city', 'name': 'Barcelona', 'full_name': 'Barcelona, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]}, 'attributes': {}}",Lastina que no se me da bien el naranja... #powerdressing,"{'id': 83451974, 'id_str': '83451974', 'name': 'Mafe Camacho', 'screen_name': 'ferchacamacho', 'location': 'Barcelona, España', 'url': None, 'description': 'Profesional en Relaciones Internacionales/ UJTL Bogota 🇨🇴/ UAB-Master en Marketing Politico #MMP ⚡️ https://twitter.com/CidobBarcelonapCJwaH', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 140, 'friends_count': 298, 'listed_count': 1, 'favourites_count': 1500, 'statuses_count': 1049, 'created_at': 'Sun Oct 18 21:34:44 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'FFF9CF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme17/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme17/bg.gif', 'profile_background_tile': True, 'profile_link_color': 'FAB81E', 'profile_sidebar_border_color': '5A5679', 'profile_sidebar_fill_color': '676F7A', 'profile_text_color': '25192D', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1107397450208288768/0ajRfd-a_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1107397450208288768/0ajRfd-a_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/83451974/1552859103', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Barcelona,"(2.052477, 41.317048)",Cataluña,yes,['naranja'],76.0,17.2,0.0,1.6,0.0,4.0,['Frutas']
