,Unnamed: 0,Unnamed: 0.1,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood,Foods,Calorias,Hidratos de Carbono,Grasas,Proteinas,Colesterol,Fibra,Categorías
0,0,0,2019-04-07 00:00:35.000,1.114679324643418e+18,1.114679324643418e+18,es,"{'id': '37ded68f419372ee', 'url': 'https://api.twitter.com/1.1/geo/id/37ded68f419372ee.json', 'place_type': 'city', 'name': 'El Prat de Llobregat', 'full_name': 'El Prat de Llobregat, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.057436, 41.276561], [2.057436, 41.348499], [2.146839, 41.348499], [2.146839, 41.276561]]]}, 'attributes': {}}","@ValuRoldan3 Ya tamooo, 2 semanitas más y fideitos con salsa","{'id': 175478095, 'id_str': '175478095', 'name': 'julian', 'screen_name': 'julinob5', 'location': None, 'url': None, 'description': 'El infierno tiene direccion y vos la conoces bien...', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 213, 'friends_count': 172, 'listed_count': 1, 'favourites_count': 4115, 'statuses_count': 25038, 'created_at': 'Fri Aug 06 18:30:39 +0000 2010', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/994323930587586568/pD16GNjG_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/994323930587586568/pD16GNjG_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/175478095/1536777891', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,El Prat de Llobregat,"(2.057436, 41.276561)",Cataluña,yes,['salsa'],99.455,9.52,16.04,3.93,18.06,1.14,['Sopas']
1,1,1,2019-04-07 00:01:05.000,1.1146794509296968e+18,1.1146794509296968e+18,es,"{'id': '8c86b8b4cb716103', 'url': 'https://api.twitter.com/1.1/geo/id/8c86b8b4cb716103.json', 'place_type': 'city', 'name': 'Sevilla', 'full_name': 'Sevilla, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.02843, 37.313613], [-6.02843, 37.452783], [-5.8186599999999995, 37.452783], [-5.8186599999999995, 37.313613]]]}, 'attributes': {}}","@fridista Algo haremos. Aunque sea un café en algún sitio. 

O un enorme trozo de tarta.","{'id': 205395430, 'id_str': '205395430', 'name': 'Lara Santaella 📸 Camera for hire', 'screen_name': 'lara_santaella', 'location': 'Sevilla (el color especial se lo doy yo)', 'url': 'https://larasantaella.es', 'description': 'Por #Sevilla, cámara en mano. Fotografía, escritura, diseño, activismo y algún extra.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 5456, 'friends_count': 1834, 'listed_count': 121, 'favourites_count': 76823, 'statuses_count': 142140, 'created_at': 'Wed Oct 20 19:46:08 +0000 2010', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': 'F58EA8', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1107394092886081546/QNijvaVZ_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1107394092886081546/QNijvaVZ_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/205395430/1547209938', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Sevilla,"(-6.02843, 37.313613)",Andalucía,yes,['tarta'],401.0,49.2,20.2,5.2,101.3,1.2,['Dulces']
2,4,4,2019-04-07 00:04:59.000,1.1146804339277742e+18,1.1146804339277742e+18,es,"{'id': 'cd43ea85d651af92', 'url': 'https://api.twitter.com/1.1/geo/id/cd43ea85d651af92.json', 'place_type': 'city', 'name': 'Bilbao', 'full_name': 'Bilbao, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-2.98601, 43.213654], [-2.98601, 43.290145], [-2.880325, 43.290145], [-2.880325, 43.213654]]]}, 'attributes': {}}",Luna de miel... en Bilbao mejor que El Cairo o Limburgo #Alonso 🎓 👏👏👏👏 con Asturias 💪❤️🎼🎶🎶 en Teatro Arriaga Antzok… https://t.co/nmo0ztua9J,"{'id': 862927146, 'id_str': '862927146', 'name': 'Pablo Álvarez Siana', 'screen_name': 'pablosiana', 'location': 'Siana, Mieres', 'url': 'http://pablosiana.wordpress.com', 'description': 'Músico, profesor, melómano, viajero... y Oviedista desde antes de nacer', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 2042, 'friends_count': 1745, 'listed_count': 65, 'favourites_count': 133671, 'statuses_count': 43335, 'created_at': 'Fri Oct 05 11:59:44 +0000 2012', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '94D487', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1109935386241961985/k8ej8Yd9_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1109935386241961985/k8ej8Yd9_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/862927146/1507153989', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Bilbao,"(-2.98601, 43.213654)",Pais Vasco,yes,['miel'],315.0,76.8,0.0,0.5,0.0,0.0,['Dulces']
3,5,5,2019-04-07 00:05:10.000,1.1146804778505092e+18,1.1146804778505092e+18,es,"{'id': '2e858e47881ddc48', 'url': 'https://api.twitter.com/1.1/geo/id/2e858e47881ddc48.json', 'place_type': 'city', 'name': 'Alicante', 'full_name': 'Alicante, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.6564329999999999, 38.160348], [-0.6564329999999999, 38.537463], [-0.37460899999999997, 38.537463], [-0.37460899999999997, 38.160348]]]}, 'attributes': {}}",Me trague el vino con coca modo barril sin fondo,"{'id': 559921691, 'id_str': '559921691', 'name': '𝑀𝑎𝑔𝑑𝑎𝑙𝑒𝑛𝑎', 'screen_name': 'AngelucciMagui', 'location': 'Alicante, España', 'url': 'http://Instagram.com/angeluccimagui', 'description': 'reina en ruinas\n🖤✨🥀\npiccola quaglia', 'translator_type': 'regular', 'protected': False, 'verified': False, 'followers_count': 938, 'friends_count': 710, 'listed_count': 1, 'favourites_count': 26650, 'statuses_count': 39634, 'created_at': 'Sat Apr 21 23:09:40 +0000 2012', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'EBEBEB', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_link_color': 'F58EA8', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'F3F3F3', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1099522882969972736/DDtpr89L_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1099522882969972736/DDtpr89L_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/559921691/1550517906', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Alicante,"(-0.6564329999999999, 38.160348)",Comunidad Valenciana,yes,['vino'],71.0,0.3,0.0,0.23,0.0,0.0,['Bebidas Alcoholicas']
4,8,12,2019-04-07 00:24:58.000,1.1146854624536004e+18,1.1146854624536004e+18,es,"{'id': '8c86b8b4cb716103', 'url': 'https://api.twitter.com/1.1/geo/id/8c86b8b4cb716103.json', 'place_type': 'city', 'name': 'Sevilla', 'full_name': 'Sevilla, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.02843, 37.313613], [-6.02843, 37.452783], [-5.8186599999999995, 37.452783], [-5.8186599999999995, 37.313613]]]}, 'attributes': {}}",@be_dita86 @JJRuizToledo Ya pero nosotras las q estamos bn del coco no podemos hacer nada para impedirlo. Abrir la… https://t.co/tWJ9RpX5Cj,"{'id': 253284546, 'id_str': '253284546', 'name': 'SilviGoonie', 'screen_name': 'Silv_rany', 'location': 'Gaditana afincada en Sevilla', 'url': 'http://www.filmaffinity.com/es/userreviews/1/441575.html', 'description': '🏴\u200d☠️Cinefila,seriefila y devoradora d libros. Loca x los80. Escribo guiones n mis ratos libres. Mi vida es mucho mas interesante en mi cabeza ;) \U0001f995', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 1376, 'friends_count': 2254, 'listed_count': 30, 'favourites_count': 12323, 'statuses_count': 13938, 'created_at': 'Wed Feb 16 22:58:54 +0000 2011', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '352726', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme13/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme13/bg.gif', 'profile_background_tile': True, 'profile_link_color': '19CF86', 'profile_sidebar_border_color': '829D5E', 'profile_sidebar_fill_color': '99CC33', 'profile_text_color': '3E4415', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1095703750583508993/SpwPAj8y_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1095703750583508993/SpwPAj8y_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/253284546/1365511152', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Sevilla,"(-6.02843, 37.313613)",Andalucía,yes,['coco'],373.0,15.2,33.5,3.3,0.0,9.0,['Frutas']
5,9,14,2019-04-07 00:29:12.000,1.1146865286372392e+18,1.1146865286372392e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",Yo soy súper hater de las bebidas alcoholicas en especial la cerveza pero la coronita me esa gustando mucho🥺,"{'id': 126405654, 'id_str': '126405654', 'name': 'Laura Plasencia.', 'screen_name': 'LauraaPlasencia', 'location': 'Madrid, España ', 'url': None, 'description': 'Amargada pero buena muchacha 🤙🏻', 'translator_type': 'regular', 'protected': False, 'verified': False, 'followers_count': 1852, 'friends_count': 438, 'listed_count': 33, 'favourites_count': 11688, 'statuses_count': 56010, 'created_at': 'Thu Mar 25 19:33:17 +0000 2010', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'FF6699', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme11/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme11/bg.gif', 'profile_background_tile': True, 'profile_link_color': 'F5ABB5', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': '1E5E8F', 'profile_text_color': 'FFFFFF', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1071888704904589312/hia6FA3A_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1071888704904589312/hia6FA3A_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/126405654/1514376381', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['cerveza'],42.0,3.12,0.0,0.5,0.0,0.0,['Bebidas Alcoholicas']
6,10,15,2019-04-07 00:33:13.000,1.1146875360881336e+18,1.1146875360881336e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",Ok. 5 cerveza y 15 veces al baño,"{'id': 287923049, 'id_str': '287923049', 'name': 'hairoguzman', 'screen_name': 'hairoguzman', 'location': None, 'url': None, 'description': None, 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 132, 'friends_count': 321, 'listed_count': 0, 'favourites_count': 201, 'statuses_count': 17928, 'created_at': 'Mon Apr 25 22:58:56 +0000 2011', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/668818989397622784/ekurVfnk_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/668818989397622784/ekurVfnk_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/287923049/1399894000', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['cerveza'],42.0,3.12,0.0,0.5,0.0,0.0,['Bebidas Alcoholicas']
7,11,16,2019-04-07 00:38:42.000,1.114688916936958e+18,1.114688916936958e+18,es,"{'id': 'e88681ebd19bf4f7', 'url': 'https://api.twitter.com/1.1/geo/id/e88681ebd19bf4f7.json', 'place_type': 'city', 'name': 'Tomares', 'full_name': 'Tomares, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.063505, 37.358041], [-6.063505, 37.381903], [-6.02251, 37.381903], [-6.02251, 37.358041]]]}, 'attributes': {}}",A los q os gustan los macarrones con tomatito no os gustan las verduras,"{'id': 825406579050741760, 'id_str': '825406579050741760', 'name': 'vasilanduki', 'screen_name': 'vacilanduki', 'location': 'Sevilla, España', 'url': None, 'description': None, 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 838, 'friends_count': 340, 'listed_count': 0, 'favourites_count': 45023, 'statuses_count': 28754, 'created_at': 'Sat Jan 28 18:13:58 +0000 2017', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1092931271779602432/bvn_K9hb_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1092931271779602432/bvn_K9hb_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/825406579050741760/1499096767', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Tomares,"(-6.063505, 37.358041)",Andalucía,yes,['macarrones'],203.0,21.46,9.4,7.94,17.0,1.1,['Cereales y derivados']
8,12,17,2019-04-07 00:39:12.000,1.1146890444185724e+18,1.1146890444185724e+18,es,"{'id': 'ea520f3528c9b3e4', 'url': 'https://api.twitter.com/1.1/geo/id/ea520f3528c9b3e4.json', 'place_type': 'admin', 'name': 'Madrid', 'full_name': 'Madrid, Comunidad de Madrid', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.579175, 39.884537], [-4.579175, 41.164911], [-3.053132, 41.164911], [-3.053132, 39.884537]]]}, 'attributes': {}}",@OmFetty @byrafaast ni pasta ni ganas tengo de fiesta ... :(,"{'id': 306233352, 'id_str': '306233352', 'name': 'Czaяuиio™️\U0001f9f8', 'screen_name': 'Czaruniio', 'location': '+2.000 Suscriptores', 'url': 'http://m.youtube.com/user/yamczarek', 'description': '//César Skłodowski//🇵🇱/Twitch Affiliate//#NeverGiveUp//Móstoles// #RMCF// \U0001f9f8', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 1228, 'friends_count': 279, 'listed_count': 45, 'favourites_count': 81068, 'statuses_count': 73861, 'created_at': 'Fri May 27 14:35:37 +0000 2011', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '1C89BF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_link_color': '19CF86', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '57361F', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1036335639501963265/y5_KOpFh_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1036335639501963265/y5_KOpFh_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/306233352/1541345043', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Madrid,"(-4.579175, 39.884537)",Madrid,yes,['pasta'],252.0,47.44,2.26,9.35,30.0,4.58,['Cereales y derivados']
9,13,18,2019-04-07 00:40:02.000,1.1146892524896052e+18,1.1146892524896052e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",@AlenPeternac Ya lo que pasa que es un put o FETO qu no tiene ni orejas  el puto cerdo,"{'id': 2869848227, 'id_str': '2869848227', 'name': 'Ivan', 'screen_name': 'ivan88fsa', 'location': 'Madrid', 'url': None, 'description': None, 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 357, 'friends_count': 939, 'listed_count': 2, 'favourites_count': 14954, 'statuses_count': 11491, 'created_at': 'Mon Nov 10 00:28:26 +0000 2014', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/856136231146704896/JcmKyTYi_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/856136231146704896/JcmKyTYi_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2869848227/1492953929', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['cerdo'],271.0,0.0,17.04,27.34,90.0,0.0,['Carnes']
