,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood,Foods,Calorias,Hidratos de Carbono,Grasas,Proteinas,Colesterol,Fibra,Gender,Categorías
10,10,10,10,10,18,20,2019-04-05 10:31:34.000,1.1141133411847292e+18,1.1141133411847292e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}","Nuestra ""LASAÑA ESPECIAL"" HOY en Orsomatto 😉 ""LASAÑA DE BRÓCOLI CON SUPREMA DE BOLOÑA Y QUESO EMMENTAL"" 🥦🧀... No te… https://t.co/9dKybvALFR",Orso,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,"['QUESO', 'MENTA', 'BRÓCOLI']",520.0,8.209999999999999,35.129999999999995,42.57,74.4,9.8,male,"['Productos lacteos', 'Hierbas y especias', 'Vegetales']"
11,11,11,11,11,19,22,2019-04-05 10:32:58.000,1.114113692143108e+18,1.114113692143108e+18,es,"{'id': 'd16c1b8ae1635978', 'url': 'https://api.twitter.com/1.1/geo/id/d16c1b8ae1635978.json', 'place_type': 'city', 'name': 'A Coruña', 'full_name': 'A Coruña, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-8.471284, 43.301377], [-8.471284, 43.389945], [-8.374342, 43.389945], [-8.374342, 43.301377]]]}, 'attributes': {}}",Bueno mira que a mí me gustaba la carne bastante poco hecha pero a eso aún lo puedes hasta vacunar,Elmo,España,A Coruña,"(-8.471284, 43.301377)",Galicia,yes,['carne'],80.75,0.0,8.0,22.1,66.7,0.0,male,['Carnes']
12,12,12,12,12,20,24,2019-04-05 10:35:26.000,1.1141143145820732e+18,1.1141143145820732e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}","@SakuShepherd La diferencia es que el calabacín no es rugoso, pero tranqui, yo lo aprendí hace como un año jajajajaja",,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['calabacín'],18.0,1.76,0.39,1.76,0.0,1.6,male,['Vegetales']
13,13,13,13,13,21,25,2019-04-05 10:35:47.000,1.114114403778093e+18,1.114114403778093e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",@telepizza_es #HumorADomicilio que ganas de pizza :P,chico,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['pizza'],477.0,22.2,9.8,8.2,16.0,1.7,male,['Comida rapida']
14,14,14,14,14,22,26,2019-04-05 10:37:49.000,1.1141149154076754e+18,1.1141149154076754e+18,es,"{'id': '4ecd7c95b51819d7', 'url': 'https://api.twitter.com/1.1/geo/id/4ecd7c95b51819d7.json', 'place_type': 'city', 'name': 'Adeje', 'full_name': 'Adeje, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-16.800839, 28.065934], [-16.800839, 28.211745], [-16.658677, 28.211745], [-16.658677, 28.065934]]]}, 'attributes': {}}",@Silvia_AGP @IvanLorenteRM Ayyy dios! Todavia me acuerdo de la chorrada del jamón y me muero de risa😂😂😂😂,Daniel,España,Adeje,"(-16.800839, 28.065934)",Islas Canarias,yes,['jamón'],319.0,0.2,22.6,28.8,84.0,0.0,male,['Carnes']
15,15,15,15,15,23,27,2019-04-05 10:37:57.000,1.114114947087315e+18,1.114114947087315e+18,es,"{'id': 'b7b89aee240b2797', 'url': 'https://api.twitter.com/1.1/geo/id/b7b89aee240b2797.json', 'place_type': 'city', 'name': 'San Bartolomé de Tirajana', 'full_name': 'San Bartolomé de Tirajana, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-15.674226, 27.734563], [-15.674226, 27.965216], [-15.42668, 27.965216], [-15.42668, 27.734563]]]}, 'attributes': {}}",Como todos los días recibimos pescado fresco 🐟 de nuestro pescadero de Arinaga - Pescadería Estevez. Ayer nos trajo… https://t.co/z4VwiBM6Jx,Taberna,España,San Bartolomé de Tirajana,"(-15.674226, 27.734563)",Islas Canarias,yes,"['pescado', 'ajo']",194.32999999999998,37.66,2.1100000000000003,29.490000000000002,53.6,3.91,,"['Pescado, moluscos y marisco', 'Vegetales']"
16,16,16,16,16,26,30,2019-04-05 10:44:13.000,1.1141165262133452e+18,1.1141165262133452e+18,es,"{'id': '8c66a9bf996d0a60', 'url': 'https://api.twitter.com/1.1/geo/id/8c66a9bf996d0a60.json', 'place_type': 'city', 'name': 'Mas de las Matas', 'full_name': 'Mas de las Matas, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.316835, 40.819042], [-0.316835, 40.880466], [-0.21878, 40.880466], [-0.21878, 40.819042]]]}, 'attributes': {}}",¿Hoy no salís en ningún lado @RealBetis? Cuando ganábamos estabais hasta en la sopa perros. ¡H&amp;C TRAIDORES!,pastelón,España,Mas de las Matas,"(-0.316835, 40.819042)",Aragón,yes,['sopa'],321.0,58.24,4.34,10.99,74.0,2.2,,['Sopas']
17,17,17,17,17,29,33,2019-04-05 10:48:17.000,1.114117546653946e+18,1.114117546653946e+18,es,"{'id': '2e858e47881ddc48', 'url': 'https://api.twitter.com/1.1/geo/id/2e858e47881ddc48.json', 'place_type': 'city', 'name': 'Alicante', 'full_name': 'Alicante, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.6564329999999999, 38.160348], [-0.6564329999999999, 38.537463], [-0.37460899999999997, 38.537463], [-0.37460899999999997, 38.160348]]]}, 'attributes': {}}",@caval100 Si tuvieras a tu madre como un vegetal sin esperanza de recuperarse . Que harias Señor Casado?,Lluisa,España,Alicante,"(-0.6564329999999999, 38.160348)",Comunidad Valenciana,yes,['vegetal'],135.0,8.61,11.55,1.49,0.0,3.1,female,['Vegetales']
18,18,18,18,18,30,34,2019-04-05 10:49:49.000,1.1141179355834532e+18,1.1141179355834532e+18,es,"{'id': '90f0f1755d340c53', 'url': 'https://api.twitter.com/1.1/geo/id/90f0f1755d340c53.json', 'place_type': 'city', 'name': 'Zamora', 'full_name': 'Zamora, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-5.977119, 41.458364], [-5.977119, 41.574064], [-5.635171, 41.574064], [-5.635171, 41.458364]]]}, 'attributes': {}}","¡¡Ya estamos en la Feria Raíces!!
.
Degustaciones, Mojitos, Combinados de Ron&amp;Fresa y Gin-Tonic Dry Essence .
Tus c… https://t.co/0SyYiZNPxT",Aguardientes,España,Zamora,"(-5.977119, 41.458364)",Castilla y León,yes,['Fresa'],36.0,14.0,0.5,0.7,0.0,2.2,,['Frutas']
19,19,19,19,19,31,35,2019-04-05 10:49:59.000,1.1141179748336764e+18,1.1141179748336764e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",@cereza_hair Team lentejas siempre,JB,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['lentejas'],333.0,54.8,1.7,23.0,0.0,11.2,male,['Legumbres']
